[10:55:29.679] [INFO   ] thread main starting.
[10:55:29.685] [SEVERE ] cannot read configuration file config.properties trying from resources.
[10:55:29.687] [SEVERE ] configuration file was loaded from resources directory.
[10:55:30.175] [INFO   ] thread dealer starting.
[10:55:30.257] [SEVERE ] placing card 44 in slot 0
[10:55:30.258] [SEVERE ] placing card 75 in slot 1
[10:55:30.258] [SEVERE ] placing card 40 in slot 2
[10:55:30.259] [SEVERE ] placing card 76 in slot 3
[10:55:30.259] [SEVERE ] placing card 35 in slot 4
[10:55:30.259] [SEVERE ] placing card 26 in slot 5
[10:55:30.259] [SEVERE ] placing card 74 in slot 6
[10:55:30.260] [SEVERE ] placing card 45 in slot 7
[10:55:30.260] [SEVERE ] placing card 70 in slot 8
[10:55:30.260] [SEVERE ] placing card 50 in slot 9
[10:55:30.260] [SEVERE ] placing card 1 in slot 10
[10:55:30.260] [SEVERE ] placing card 54 in slot 11
[10:55:30.267] [SEVERE ] updating countdown to 1000
[10:55:30.268] [SEVERE ] player 1 placing token on slot 8
[10:55:30.268] [SEVERE ] player 2 placing token on slot 5
[10:55:30.268] [SEVERE ] player 4 placing token on slot 10
[10:55:30.267] [SEVERE ] player 3 placing token on slot 6
[10:55:30.269] [SEVERE ] player 3 placing token on slot 5
[10:55:30.269] [SEVERE ] player 4 placing token on slot 4
[10:55:30.269] [SEVERE ] player 1 placing token on slot 1
[10:55:30.269] [SEVERE ] player 2 placing token on slot 10
[10:55:30.270] [SEVERE ] player 1 placing token on slot 4
[10:55:30.270] [SEVERE ] removing player 4 token from slot 4
[10:55:30.269] [SEVERE ] player 3 placing token on slot 10
[10:55:30.270] [SEVERE ] player 2 placing token on slot 0
[10:55:30.271] [SEVERE ] removing player 1 token from slot 1
[10:55:30.271] [SEVERE ] removing player 1 token from slot 4
[10:55:30.271] [SEVERE ] removing player 1 token from slot 8
[10:55:30.271] [SEVERE ] player 4 placing token on slot 8
[10:55:30.272] [SEVERE ] removing player 3 token from slot 5
[10:55:30.272] [SEVERE ] removing player 3 token from slot 6
[10:55:30.272] [SEVERE ] removing player 3 token from slot 10
[10:55:30.272] [SEVERE ] player 1 placing token on slot 11
[10:55:30.272] [SEVERE ] player 4 placing token on slot 9
