[15:22:20.538] [INFO   ] thread main starting.
[15:22:20.554] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:22:20.559] [SEVERE ] configuration file was loaded from resources directory.
[15:22:21.815] [INFO   ] thread dealer starting.
[15:22:21.888] [SEVERE ] placing card 52 in slot 0
[15:22:21.890] [SEVERE ] placing card 62 in slot 1
[15:22:21.893] [SEVERE ] placing card 29 in slot 2
[15:22:21.894] [SEVERE ] placing card 56 in slot 3
[15:22:21.895] [SEVERE ] placing card 33 in slot 4
[15:22:21.895] [SEVERE ] placing card 59 in slot 5
[15:22:21.896] [SEVERE ] placing card 68 in slot 6
[15:22:21.955] [SEVERE ] placing card 0 in slot 7
[15:22:21.956] [SEVERE ] placing card 76 in slot 8
[15:22:21.957] [SEVERE ] placing card 43 in slot 9
[15:22:21.958] [SEVERE ] placing card 78 in slot 10
[15:22:21.958] [SEVERE ] placing card 70 in slot 11
[15:22:21.978] [SEVERE ] player 1 placing token on slot 5
[15:22:21.978] [SEVERE ] player 3 placing token on slot 10
[15:22:21.978] [SEVERE ] player 2 placing token on slot 7
[15:22:21.978] [SEVERE ] player 4 placing token on slot 1
[15:22:21.980] [SEVERE ] player 2 placing token on slot 0
[15:22:21.982] [SEVERE ] removing player 2 token from slot 0
[15:22:21.984] [SEVERE ] player 2 placing token on slot 5
[15:22:21.980] [SEVERE ] player 3 placing token on slot 6
[15:22:21.980] [SEVERE ] removing player 1 token from slot 5
[15:22:21.986] [SEVERE ] player 1 placing token on slot 1
[15:22:21.987] [SEVERE ] player 1 placing token on slot 0
[15:22:21.985] [SEVERE ] player 3 placing token on slot 7
[15:22:21.984] [SEVERE ] player 2 placing token on slot 0
[15:22:21.980] [SEVERE ] player 4 placing token on slot 10
[15:22:21.988] [SEVERE ] removing player 1 token from slot 1
[15:22:21.992] [SEVERE ] removing player 3 token from slot 6
[15:22:21.993] [SEVERE ] removing player 3 token from slot 7
[15:22:21.994] [SEVERE ] removing player 3 token from slot 10
[15:22:21.995] [SEVERE ] player 4 placing token on slot 3
[15:22:21.995] [SEVERE ] player 1 placing token on slot 11
[15:22:21.996] [SEVERE ] removing player 2 token from slot 0
[15:22:21.996] [SEVERE ] removing player 2 token from slot 5
[15:22:21.997] [SEVERE ] removing player 2 token from slot 7
[15:22:21.998] [SEVERE ] player 1 placing token on slot 8
[15:22:21.998] [SEVERE ] player 3 placing token on slot 1
