[13:17:00.597] [INFO   ] thread main starting.
[13:17:00.606] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:17:00.609] [SEVERE ] configuration file was loaded from resources directory.
[13:17:01.280] [INFO   ] thread dealer starting.
[13:17:01.374] [SEVERE ] placing card 29 in slot 0
[13:17:01.375] [SEVERE ] placing card 70 in slot 1
[13:17:01.375] [SEVERE ] placing card 18 in slot 2
[13:17:01.375] [SEVERE ] placing card 35 in slot 3
[13:17:01.376] [SEVERE ] placing card 51 in slot 4
[13:17:01.388] [SEVERE ] placing card 28 in slot 5
[13:17:01.388] [SEVERE ] placing card 25 in slot 6
[13:17:01.389] [SEVERE ] placing card 68 in slot 7
[13:17:01.394] [SEVERE ] placing card 14 in slot 8
[13:17:01.394] [SEVERE ] placing card 73 in slot 9
[13:17:01.394] [SEVERE ] placing card 37 in slot 10
[13:17:01.395] [SEVERE ] placing card 36 in slot 11
[13:17:01.401] [SEVERE ] player 4 placing token on slot 6
[13:17:01.401] [SEVERE ] player 2 placing token on slot 3
[13:17:01.401] [SEVERE ] player 1 placing token on slot 4
[13:17:01.402] [SEVERE ] player 4 placing token on slot 7
[13:17:01.401] [SEVERE ] player 3 placing token on slot 11
[13:17:01.402] [SEVERE ] removing player 4 token from slot 7
[13:17:01.402] [SEVERE ] player 2 placing token on slot 4
[13:17:01.402] [SEVERE ] player 1 placing token on slot 1
[13:17:01.403] [SEVERE ] player 2 placing token on slot 6
[13:17:01.403] [SEVERE ] player 4 placing token on slot 10
[13:17:01.402] [SEVERE ] player 3 placing token on slot 5
[13:17:01.403] [SEVERE ] player 1 placing token on slot 5
[13:17:01.404] [SEVERE ] removing player 2 token from slot 3
[13:17:01.405] [SEVERE ] removing player 2 token from slot 4
[13:17:01.405] [SEVERE ] removing player 2 token from slot 6
[13:17:01.406] [SEVERE ] player 4 placing token on slot 8
[13:17:01.406] [SEVERE ] player 3 placing token on slot 4
[13:17:01.406] [SEVERE ] removing player 1 token from slot 1
[13:17:01.406] [SEVERE ] removing player 1 token from slot 4
[13:17:01.406] [SEVERE ] removing player 1 token from slot 5
[13:17:01.407] [SEVERE ] player 2 placing token on slot 3
[13:17:01.407] [SEVERE ] removing player 4 token from slot 6
[13:17:01.407] [SEVERE ] removing player 4 token from slot 8
[13:17:01.407] [SEVERE ] removing player 4 token from slot 10
[13:17:01.408] [SEVERE ] player 1 placing token on slot 2
[13:17:01.408] [SEVERE ] player 2 placing token on slot 9
[13:17:01.408] [SEVERE ] removing player 3 token from slot 4
[13:17:01.408] [SEVERE ] removing player 3 token from slot 5
[13:17:01.408] [SEVERE ] removing player 3 token from slot 11
[13:17:01.409] [SEVERE ] player 4 placing token on slot 4
[13:17:01.409] [SEVERE ] player 3 placing token on slot 4
[13:17:01.409] [SEVERE ] player 2 placing token on slot 2
[13:17:01.409] [SEVERE ] player 1 placing token on slot 10
[13:17:01.409] [SEVERE ] player 3 placing token on slot 1
[13:17:01.409] [SEVERE ] removing player 4 token from slot 4
[13:17:01.410] [SEVERE ] removing player 2 token from slot 2
[13:17:01.410] [SEVERE ] removing player 2 token from slot 3
[13:17:01.410] [SEVERE ] removing player 2 token from slot 9
[13:17:01.411] [SEVERE ] player 1 placing token on slot 3
[13:17:01.411] [SEVERE ] player 2 placing token on slot 6
[13:17:01.411] [SEVERE ] player 4 placing token on slot 7
[13:17:01.411] [SEVERE ] player 3 placing token on slot 6
[13:17:01.411] [SEVERE ] removing player 1 token from slot 2
[13:17:01.412] [SEVERE ] removing player 1 token from slot 3
[13:17:01.412] [SEVERE ] removing player 1 token from slot 10
[13:17:01.412] [SEVERE ] removing player 2 token from slot 6
[13:17:01.412] [SEVERE ] player 4 placing token on slot 5
[13:17:01.413] [SEVERE ] removing player 3 token from slot 1
[13:17:01.413] [SEVERE ] removing player 3 token from slot 4
[13:17:01.413] [SEVERE ] removing player 3 token from slot 6
[13:17:01.413] [SEVERE ] player 1 placing token on slot 7
[13:17:01.414] [SEVERE ] player 3 placing token on slot 2
[13:17:01.414] [SEVERE ] player 4 placing token on slot 0
[13:17:01.414] [SEVERE ] player 2 placing token on slot 8
[13:17:01.414] [SEVERE ] player 3 placing token on slot 0
[13:17:01.414] [SEVERE ] player 1 placing token on slot 0
[13:17:01.415] [SEVERE ] removing player 4 token from slot 0
