[13:02:04.231] [INFO   ] thread main starting.
[13:02:04.240] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:02:04.243] [SEVERE ] configuration file was loaded from resources directory.
[13:02:04.931] [INFO   ] thread dealer starting.
[13:02:05.012] [SEVERE ] placing card 27 in slot 0
[13:02:05.012] [SEVERE ] placing card 44 in slot 1
[13:02:05.013] [SEVERE ] placing card 9 in slot 2
[13:02:05.013] [SEVERE ] placing card 38 in slot 3
[13:02:05.013] [SEVERE ] placing card 47 in slot 4
[13:02:05.013] [SEVERE ] placing card 62 in slot 5
[13:02:05.014] [SEVERE ] placing card 67 in slot 6
[13:02:05.014] [SEVERE ] placing card 59 in slot 7
[13:02:05.014] [SEVERE ] placing card 37 in slot 8
[13:02:05.014] [SEVERE ] placing card 50 in slot 9
[13:02:05.015] [SEVERE ] placing card 31 in slot 10
[13:02:05.015] [SEVERE ] placing card 3 in slot 11
[13:02:05.029] [SEVERE ] player 4 placing token on slot 1
[13:02:05.029] [SEVERE ] player 1 placing token on slot 8
[13:02:05.029] [SEVERE ] player 2 placing token on slot 7
[13:02:05.030] [SEVERE ] player 1 placing token on slot 0
[13:02:05.030] [SEVERE ] player 1 placing token on slot 11
[13:02:05.029] [SEVERE ] player 3 placing token on slot 1
[13:02:05.030] [SEVERE ] player 4 placing token on slot 10
[13:02:05.030] [SEVERE ] player 2 placing token on slot 4
[13:02:05.031] [SEVERE ] removing player 1 token from slot 0
[13:02:05.031] [SEVERE ] removing player 1 token from slot 8
[13:02:05.032] [SEVERE ] removing player 1 token from slot 11
[13:02:05.032] [SEVERE ] player 3 placing token on slot 6
[13:02:05.032] [SEVERE ] player 2 placing token on slot 0
[13:02:05.032] [SEVERE ] player 4 placing token on slot 0
[13:02:05.032] [SEVERE ] player 1 placing token on slot 5
[13:02:05.032] [SEVERE ] player 3 placing token on slot 9
[13:02:05.033] [SEVERE ] removing player 2 token from slot 0
[13:02:05.033] [SEVERE ] removing player 2 token from slot 4
[13:02:05.034] [SEVERE ] removing player 2 token from slot 7
[13:02:05.034] [SEVERE ] player 1 placing token on slot 8
[13:02:05.034] [SEVERE ] removing player 4 token from slot 0
[13:02:05.034] [SEVERE ] removing player 4 token from slot 1
[13:02:05.035] [SEVERE ] removing player 4 token from slot 10
[13:02:05.035] [SEVERE ] player 2 placing token on slot 0
[13:02:05.035] [SEVERE ] player 1 placing token on slot 7
[13:02:05.035] [SEVERE ] removing player 3 token from slot 1
[13:02:05.036] [SEVERE ] removing player 3 token from slot 6
[13:02:05.036] [SEVERE ] removing player 3 token from slot 9
[13:02:05.036] [SEVERE ] player 4 placing token on slot 4
[13:02:05.036] [SEVERE ] player 3 placing token on slot 2
[13:02:05.036] [SEVERE ] player 2 placing token on slot 5
[13:02:05.037] [SEVERE ] removing player 1 token from slot 5
[13:02:05.037] [SEVERE ] removing player 1 token from slot 7
[13:02:05.038] [SEVERE ] removing player 1 token from slot 8
[13:02:05.039] [SEVERE ] player 4 placing token on slot 5
[13:02:05.039] [SEVERE ] player 1 placing token on slot 8
[13:02:05.039] [SEVERE ] player 2 placing token on slot 8
[13:02:05.039] [SEVERE ] player 3 placing token on slot 0
[13:02:05.039] [SEVERE ] player 1 placing token on slot 4
[13:02:05.039] [SEVERE ] player 4 placing token on slot 8
[13:02:05.040] [SEVERE ] removing player 2 token from slot 0
[13:02:05.040] [SEVERE ] removing player 2 token from slot 5
[13:02:05.040] [SEVERE ] removing player 2 token from slot 8
[13:02:05.041] [SEVERE ] removing player 4 token from slot 4
[13:02:05.041] [SEVERE ] removing player 4 token from slot 5
[13:02:05.041] [SEVERE ] removing player 4 token from slot 8
[13:02:05.041] [SEVERE ] removing player 3 token from slot 2
[13:02:05.041] [SEVERE ] player 2 placing token on slot 10
[13:02:05.041] [SEVERE ] player 4 placing token on slot 7
[13:02:05.041] [SEVERE ] player 1 placing token on slot 11
[13:02:05.042] [SEVERE ] player 4 placing token on slot 0
[13:02:05.042] [SEVERE ] player 2 placing token on slot 5
[13:02:05.041] [SEVERE ] player 3 placing token on slot 8
[13:02:05.043] [SEVERE ] removing player 1 token from slot 4
[13:02:05.043] [SEVERE ] removing player 1 token from slot 8
[13:02:05.043] [SEVERE ] removing player 1 token from slot 11
[13:02:05.044] [SEVERE ] player 4 placing token on slot 4
[13:02:05.044] [SEVERE ] player 3 placing token on slot 6
[13:02:05.044] [SEVERE ] player 1 placing token on slot 7
