[15:18:52.746] [INFO   ] thread main starting.
[15:18:52.764] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:18:52.770] [SEVERE ] configuration file was loaded from resources directory.
[15:18:54.916] [INFO   ] thread dealer starting.
[15:18:55.052] [SEVERE ] placing card 10 in slot 0
[15:18:55.055] [SEVERE ] placing card 72 in slot 1
[15:18:55.056] [SEVERE ] placing card 74 in slot 2
[15:18:55.169] [SEVERE ] placing card 51 in slot 3
[15:18:55.170] [SEVERE ] placing card 50 in slot 4
[15:18:55.171] [SEVERE ] placing card 53 in slot 5
[15:18:55.172] [SEVERE ] placing card 19 in slot 6
[15:18:55.174] [SEVERE ] placing card 79 in slot 7
[15:18:55.175] [SEVERE ] placing card 6 in slot 8
[15:18:55.176] [SEVERE ] placing card 71 in slot 9
[15:18:55.177] [SEVERE ] placing card 43 in slot 10
[15:18:55.178] [SEVERE ] placing card 68 in slot 11
[15:18:55.205] [SEVERE ] updating countdown to 3000
[15:18:55.206] [SEVERE ] player 4 placing token on slot 8
[15:18:55.207] [SEVERE ] player 2 placing token on slot 10
[15:18:55.207] [SEVERE ] player 3 placing token on slot 4
[15:18:55.206] [SEVERE ] player 1 placing token on slot 7
[15:18:55.211] [SEVERE ] player 3 placing token on slot 7
[15:18:55.212] [SEVERE ] player 3 placing token on slot 5
[15:18:55.209] [SEVERE ] player 2 placing token on slot 6
[15:18:55.209] [SEVERE ] player 4 placing token on slot 0
[15:18:55.211] [SEVERE ] player 1 placing token on slot 4
[15:18:55.220] [SEVERE ] removing player 3 token from slot 4
[15:18:55.221] [SEVERE ] removing player 3 token from slot 5
[15:18:55.222] [SEVERE ] removing player 3 token from slot 7
[15:18:55.227] [SEVERE ] player 2 placing token on slot 9
[15:18:55.227] [SEVERE ] player 1 placing token on slot 9
[15:18:55.227] [SEVERE ] player 4 placing token on slot 9
[15:18:55.229] [SEVERE ] player 3 placing token on slot 11
[15:18:55.233] [SEVERE ] removing player 2 token from slot 6
[15:18:55.234] [SEVERE ] removing player 2 token from slot 9
[15:18:55.234] [SEVERE ] removing player 2 token from slot 10
[15:18:55.235] [SEVERE ] removing player 1 token from slot 4
[15:18:55.236] [SEVERE ] removing player 1 token from slot 7
[15:18:55.237] [SEVERE ] removing player 1 token from slot 9
[15:18:55.238] [SEVERE ] player 3 placing token on slot 7
[15:18:55.238] [SEVERE ] player 2 placing token on slot 8
[15:18:55.238] [SEVERE ] player 1 placing token on slot 4
[15:18:55.247] [SEVERE ] removing player 4 token from slot 0
[15:18:55.248] [SEVERE ] removing player 4 token from slot 8
[15:18:55.249] [SEVERE ] removing player 4 token from slot 9
[15:18:55.250] [SEVERE ] player 4 placing token on slot 10
[15:18:55.251] [SEVERE ] player 2 placing token on slot 3
[15:18:55.251] [SEVERE ] player 1 placing token on slot 11
[15:18:55.251] [SEVERE ] player 3 placing token on slot 8
[15:18:55.254] [SEVERE ] removing player 1 token from slot 11
[15:18:55.253] [SEVERE ] removing player 2 token from slot 8
[15:18:55.252] [SEVERE ] player 4 placing token on slot 2
[15:18:55.260] [SEVERE ] removing player 3 token from slot 7
[15:18:55.261] [SEVERE ] removing player 3 token from slot 8
[15:18:55.262] [SEVERE ] removing player 3 token from slot 11
[15:18:55.264] [SEVERE ] player 1 placing token on slot 11
[15:18:55.265] [SEVERE ] player 1 placing token on slot 8
[15:18:55.266] [SEVERE ] player 2 placing token on slot 8
[15:18:55.266] [SEVERE ] player 3 placing token on slot 9
[15:18:55.266] [SEVERE ] player 4 placing token on slot 11
[15:18:55.270] [SEVERE ] removing player 1 token from slot 4
[15:18:55.271] [SEVERE ] removing player 1 token from slot 8
[15:18:55.272] [SEVERE ] removing player 1 token from slot 11
[15:18:55.273] [SEVERE ] removing player 4 token from slot 2
[15:18:55.274] [SEVERE ] removing player 4 token from slot 10
[15:18:55.276] [SEVERE ] removing player 4 token from slot 11
[15:18:55.277] [SEVERE ] removing player 2 token from slot 3
[15:18:55.277] [SEVERE ] player 4 placing token on slot 3
[15:18:55.278] [SEVERE ] player 1 placing token on slot 0
[15:18:55.278] [SEVERE ] player 3 placing token on slot 2
[15:18:55.278] [SEVERE ] player 2 placing token on slot 6
[15:18:55.281] [SEVERE ] player 3 placing token on slot 4
[15:18:55.280] [SEVERE ] removing player 1 token from slot 0
[15:18:55.279] [SEVERE ] player 4 placing token on slot 6
[15:18:55.282] [SEVERE ] player 2 placing token on slot 2
[15:18:55.286] [SEVERE ] removing player 3 token from slot 2
[15:18:55.287] [SEVERE ] removing player 3 token from slot 4
[15:18:55.288] [SEVERE ] removing player 3 token from slot 9
[15:18:55.289] [SEVERE ] player 1 placing token on slot 9
[15:18:55.289] [SEVERE ] player 4 placing token on slot 10
[15:18:55.291] [SEVERE ] removing player 2 token from slot 2
[15:18:55.292] [SEVERE ] removing player 2 token from slot 6
[15:18:55.293] [SEVERE ] removing player 2 token from slot 8
[15:18:55.294] [SEVERE ] player 3 placing token on slot 9
[15:18:55.294] [SEVERE ] player 1 placing token on slot 4
[15:18:55.296] [SEVERE ] removing player 4 token from slot 3
[15:18:55.297] [SEVERE ] removing player 4 token from slot 6
[15:18:55.298] [SEVERE ] removing player 4 token from slot 10
[15:18:55.300] [SEVERE ] player 2 placing token on slot 11
[15:18:55.300] [SEVERE ] player 3 placing token on slot 8
[15:18:55.300] [SEVERE ] player 4 placing token on slot 5
[15:18:55.300] [SEVERE ] removing player 1 token from slot 4
[15:18:55.304] [SEVERE ] player 4 placing token on slot 9
[15:18:55.302] [SEVERE ] player 3 placing token on slot 4
[15:18:55.301] [SEVERE ] player 2 placing token on slot 2
[15:18:55.306] [SEVERE ] player 4 placing token on slot 6
[15:18:55.304] [SEVERE ] player 1 placing token on slot 7
[15:18:55.310] [SEVERE ] removing player 3 token from slot 4
[15:18:55.311] [SEVERE ] removing player 3 token from slot 8
[15:18:55.312] [SEVERE ] removing player 3 token from slot 9
[15:18:55.313] [SEVERE ] removing player 2 token from slot 2
[15:18:55.313] [SEVERE ] removing player 1 token from slot 9
[15:18:55.316] [SEVERE ] removing player 4 token from slot 5
[15:18:55.317] [SEVERE ] removing player 4 token from slot 6
[15:18:55.318] [SEVERE ] removing player 4 token from slot 9
[15:18:55.319] [SEVERE ] player 3 placing token on slot 10
[15:18:55.320] [SEVERE ] player 4 placing token on slot 11
[15:18:55.320] [SEVERE ] player 1 placing token on slot 9
[15:18:55.323] [SEVERE ] player 1 placing token on slot 6
[15:18:55.319] [SEVERE ] player 2 placing token on slot 3
[15:18:55.322] [SEVERE ] player 4 placing token on slot 10
[15:18:55.321] [SEVERE ] player 3 placing token on slot 7
[15:18:55.333] [SEVERE ] removing player 1 token from slot 6
[15:18:55.334] [SEVERE ] removing player 1 token from slot 7
[15:18:55.335] [SEVERE ] removing player 1 token from slot 9
[15:18:55.336] [SEVERE ] player 2 placing token on slot 6
[15:18:55.336] [SEVERE ] removing player 3 token from slot 7
[15:18:55.336] [SEVERE ] player 1 placing token on slot 1
[15:18:55.336] [SEVERE ] removing player 4 token from slot 10
[15:18:55.345] [SEVERE ] removing player 2 token from slot 3
[15:18:55.346] [SEVERE ] removing player 2 token from slot 6
[15:18:55.347] [SEVERE ] removing player 2 token from slot 11
[15:18:55.348] [SEVERE ] player 3 placing token on slot 7
[15:18:55.348] [SEVERE ] player 4 placing token on slot 7
[15:18:55.348] [SEVERE ] player 1 placing token on slot 3
[15:18:55.350] [SEVERE ] player 4 placing token on slot 0
[15:18:55.349] [SEVERE ] player 2 placing token on slot 2
[15:18:55.349] [SEVERE ] removing player 3 token from slot 10
[15:18:55.351] [SEVERE ] player 1 placing token on slot 6
[15:18:55.355] [SEVERE ] removing player 4 token from slot 0
[15:18:55.357] [SEVERE ] removing player 4 token from slot 7
