[13:15:17.820] [INFO   ] thread main starting.
[13:15:17.829] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:15:17.840] [SEVERE ] configuration file was loaded from resources directory.
[13:15:18.385] [INFO   ] thread dealer starting.
[13:15:18.475] [SEVERE ] placing card 46 in slot 0
[13:15:18.475] [SEVERE ] placing card 51 in slot 1
[13:15:18.476] [SEVERE ] placing card 31 in slot 2
[13:15:18.476] [SEVERE ] placing card 8 in slot 3
[13:15:18.476] [SEVERE ] placing card 43 in slot 4
[13:15:18.476] [SEVERE ] placing card 29 in slot 5
[13:15:18.476] [SEVERE ] placing card 37 in slot 6
[13:15:18.477] [SEVERE ] placing card 35 in slot 7
[13:15:18.477] [SEVERE ] placing card 23 in slot 8
[13:15:18.477] [SEVERE ] placing card 13 in slot 9
[13:15:18.477] [SEVERE ] placing card 67 in slot 10
[13:15:18.478] [SEVERE ] placing card 48 in slot 11
[13:15:18.484] [SEVERE ] player 2 placing token on slot 11
[13:15:18.484] [SEVERE ] player 1 placing token on slot 9
[13:15:18.484] [SEVERE ] player 3 placing token on slot 2
[13:15:18.484] [SEVERE ] player 4 placing token on slot 0
[13:15:18.485] [SEVERE ] player 2 placing token on slot 7
[13:15:18.485] [SEVERE ] player 4 placing token on slot 1
[13:15:18.485] [SEVERE ] player 1 placing token on slot 11
[13:15:18.485] [SEVERE ] player 3 placing token on slot 3
[13:15:18.485] [SEVERE ] player 1 placing token on slot 4
[13:15:18.485] [SEVERE ] player 4 placing token on slot 11
[13:15:18.485] [SEVERE ] removing player 2 token from slot 7
[13:15:18.485] [SEVERE ] player 3 placing token on slot 5
[13:15:18.486] [SEVERE ] removing player 1 token from slot 4
[13:15:18.487] [SEVERE ] removing player 1 token from slot 9
[13:15:18.487] [SEVERE ] removing player 1 token from slot 11
[13:15:18.488] [SEVERE ] removing player 4 token from slot 0
[13:15:18.488] [SEVERE ] removing player 4 token from slot 1
[13:15:18.488] [SEVERE ] removing player 4 token from slot 11
[13:15:18.489] [SEVERE ] player 2 placing token on slot 8
[13:15:18.489] [SEVERE ] player 4 placing token on slot 0
[13:15:18.489] [SEVERE ] player 1 placing token on slot 1
[13:15:18.489] [SEVERE ] removing player 3 token from slot 2
[13:15:18.490] [SEVERE ] removing player 3 token from slot 3
[13:15:18.490] [SEVERE ] removing player 3 token from slot 5
[13:15:18.490] [SEVERE ] player 2 placing token on slot 6
[13:15:18.490] [SEVERE ] player 3 placing token on slot 8
[13:15:18.490] [SEVERE ] player 1 placing token on slot 7
[13:15:18.490] [SEVERE ] player 4 placing token on slot 9
[13:15:18.491] [SEVERE ] removing player 2 token from slot 6
[13:15:18.491] [SEVERE ] removing player 2 token from slot 8
[13:15:18.492] [SEVERE ] removing player 2 token from slot 11
[13:15:18.492] [SEVERE ] player 3 placing token on slot 9
[13:15:18.492] [SEVERE ] player 4 placing token on slot 2
[13:15:18.492] [SEVERE ] player 1 placing token on slot 8
[13:15:18.492] [SEVERE ] player 2 placing token on slot 8
[13:15:18.492] [SEVERE ] removing player 3 token from slot 8
[13:15:18.493] [SEVERE ] removing player 4 token from slot 0
[13:15:18.493] [SEVERE ] removing player 4 token from slot 2
[13:15:18.493] [SEVERE ] removing player 4 token from slot 9
[13:15:18.493] [SEVERE ] removing player 1 token from slot 1
[13:15:18.494] [SEVERE ] removing player 1 token from slot 7
[13:15:18.494] [SEVERE ] removing player 1 token from slot 8
[13:15:18.494] [SEVERE ] player 2 placing token on slot 4
[13:15:18.494] [SEVERE ] player 2 placing token on slot 2
[13:15:18.494] [SEVERE ] player 1 placing token on slot 9
[13:15:18.494] [SEVERE ] player 4 placing token on slot 10
[13:15:18.494] [SEVERE ] player 3 placing token on slot 2
