[16:40:56.831] [INFO   ] thread main starting.
[16:40:56.843] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:40:56.848] [SEVERE ] configuration file was loaded from resources directory.
[16:40:57.930] [INFO   ] thread dealer starting.
[16:40:58.029] [SEVERE ] placing card 52 in slot 0
[16:40:58.052] [SEVERE ] placing card 76 in slot 1
[16:40:58.053] [SEVERE ] placing card 78 in slot 2
[16:40:58.054] [SEVERE ] placing card 27 in slot 3
[16:40:58.054] [SEVERE ] placing card 10 in slot 4
[16:40:58.055] [SEVERE ] placing card 8 in slot 5
[16:40:58.055] [SEVERE ] placing card 61 in slot 6
[16:40:58.056] [SEVERE ] placing card 39 in slot 7
[16:40:58.057] [SEVERE ] placing card 68 in slot 8
[16:40:58.058] [SEVERE ] placing card 58 in slot 9
[16:40:58.059] [SEVERE ] placing card 22 in slot 10
[16:40:58.059] [SEVERE ] placing card 75 in slot 11
[16:40:58.078] [SEVERE ] updating countdown to 1000
[16:40:58.078] [SEVERE ] player 2 placing token on slot 2
[16:40:58.078] [SEVERE ] player 1 placing token on slot 10
[16:40:58.078] [SEVERE ] player 3 placing token on slot 10
[16:40:58.080] [SEVERE ] player 1 placing token on slot 0
[16:40:58.080] [SEVERE ] player 2 placing token on slot 9
[16:40:58.081] [SEVERE ] player 1 placing token on slot 8
[16:40:58.082] [SEVERE ] player 4 placing token on slot 4
[16:40:58.083] [SEVERE ] player 4 placing token on slot 6
[16:40:58.083] [SEVERE ] player 4 placing token on slot 1
[16:40:58.081] [SEVERE ] player 3 placing token on slot 1
[16:40:58.082] [SEVERE ] player 2 placing token on slot 11
[16:40:58.092] [SEVERE ] player 3 placing token on slot 6
[16:40:58.094] [SEVERE ] removing player 1 token from slot 0
[16:40:58.094] [SEVERE ] removing player 1 token from slot 8
[16:40:58.095] [SEVERE ] removing player 1 token from slot 10
[16:40:58.096] [SEVERE ] removing player 4 token from slot 1
[16:40:58.097] [SEVERE ] removing player 4 token from slot 4
[16:40:58.097] [SEVERE ] removing player 4 token from slot 6
[16:40:58.098] [SEVERE ] player 1 placing token on slot 7
[16:40:58.099] [SEVERE ] removing player 2 token from slot 2
[16:40:58.100] [SEVERE ] removing player 2 token from slot 9
[16:40:58.100] [SEVERE ] removing player 2 token from slot 11
[16:40:58.101] [SEVERE ] player 2 placing token on slot 3
[16:40:58.102] [SEVERE ] player 2 placing token on slot 0
[16:40:58.102] [SEVERE ] player 2 placing token on slot 10
[16:40:58.103] [SEVERE ] player 4 placing token on slot 5
[16:40:58.103] [SEVERE ] player 1 placing token on slot 3
[16:40:58.106] [SEVERE ] removing player 3 token from slot 1
[16:40:58.124] [SEVERE ] removing player 3 token from slot 6
[16:40:58.126] [SEVERE ] removing player 3 token from slot 10
[16:40:58.127] [SEVERE ] removing player 2 token from slot 0
[16:40:58.127] [SEVERE ] removing player 2 token from slot 3
[16:40:58.128] [SEVERE ] removing player 2 token from slot 10
[16:40:58.128] [SEVERE ] player 2 placing token on slot 11
[16:40:58.129] [SEVERE ] player 3 placing token on slot 11
[16:40:58.129] [SEVERE ] player 1 placing token on slot 10
[16:40:58.129] [SEVERE ] player 4 placing token on slot 0
[16:40:58.131] [SEVERE ] player 4 placing token on slot 1
[16:40:58.130] [SEVERE ] player 3 placing token on slot 0
[16:40:58.129] [SEVERE ] player 2 placing token on slot 8
[16:40:58.137] [SEVERE ] removing player 1 token from slot 3
[16:40:58.139] [SEVERE ] removing player 1 token from slot 7
[16:40:58.140] [SEVERE ] removing player 1 token from slot 10
[16:40:58.141] [SEVERE ] player 3 placing token on slot 9
[16:40:58.141] [SEVERE ] player 1 placing token on slot 4
[16:40:58.141] [SEVERE ] removing player 2 token from slot 8
[16:40:58.143] [SEVERE ] removing player 4 token from slot 0
[16:40:58.144] [SEVERE ] removing player 4 token from slot 1
[16:40:58.144] [SEVERE ] removing player 4 token from slot 5
[16:40:58.145] [SEVERE ] player 1 placing token on slot 1
[16:40:58.145] [SEVERE ] player 4 placing token on slot 5
[16:40:58.145] [SEVERE ] player 2 placing token on slot 1
[16:40:58.147] [SEVERE ] removing player 3 token from slot 0
[16:40:58.147] [SEVERE ] removing player 3 token from slot 9
