[15:11:50.889] [INFO   ] thread main starting.
[15:11:50.898] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:11:50.902] [SEVERE ] configuration file was loaded from resources directory.
[15:11:51.609] [INFO   ] thread dealer starting.
[15:11:51.693] [SEVERE ] placing card 6 in slot 0
[15:11:51.693] [SEVERE ] placing card 18 in slot 1
[15:11:51.694] [SEVERE ] placing card 69 in slot 2
[15:11:51.694] [SEVERE ] placing card 54 in slot 3
[15:11:51.694] [SEVERE ] placing card 8 in slot 4
[15:11:51.695] [SEVERE ] placing card 33 in slot 5
[15:11:51.695] [SEVERE ] placing card 76 in slot 6
[15:11:51.696] [SEVERE ] placing card 11 in slot 7
[15:11:51.696] [SEVERE ] placing card 13 in slot 8
[15:11:51.696] [SEVERE ] placing card 7 in slot 9
[15:11:51.697] [SEVERE ] placing card 28 in slot 10
[15:11:51.697] [SEVERE ] placing card 71 in slot 11
[15:11:51.704] [SEVERE ] updating countdown to 1000
[15:11:51.704] [SEVERE ] player 3 placing token on slot 7
[15:11:51.704] [SEVERE ] player 1 placing token on slot 5
[15:11:51.704] [SEVERE ] player 4 placing token on slot 7
[15:11:51.704] [SEVERE ] player 2 placing token on slot 5
[15:11:51.705] [SEVERE ] player 1 placing token on slot 4
[15:11:51.705] [SEVERE ] player 3 placing token on slot 5
[15:11:51.705] [SEVERE ] player 4 placing token on slot 8
[15:11:51.706] [SEVERE ] player 3 placing token on slot 8
[15:11:51.706] [SEVERE ] player 1 placing token on slot 9
[15:11:51.705] [SEVERE ] player 2 placing token on slot 10
[15:11:51.706] [SEVERE ] player 4 placing token on slot 11
[15:11:51.707] [SEVERE ] removing player 3 token from slot 5
[15:11:51.707] [SEVERE ] removing player 3 token from slot 7
[15:11:51.708] [SEVERE ] removing player 3 token from slot 8
[15:11:51.708] [SEVERE ] player 2 placing token on slot 2
[15:11:51.708] [SEVERE ] removing player 1 token from slot 4
[15:11:51.709] [SEVERE ] removing player 1 token from slot 5
[15:11:51.710] [SEVERE ] removing player 1 token from slot 9
[15:11:51.710] [SEVERE ] player 3 placing token on slot 4
[15:11:51.712] [SEVERE ] removing player 4 token from slot 7
[15:11:51.713] [SEVERE ] removing player 4 token from slot 8
[15:11:51.713] [SEVERE ] removing player 4 token from slot 11
[15:11:51.713] [SEVERE ] player 1 placing token on slot 5
[15:11:51.713] [SEVERE ] player 3 placing token on slot 7
[15:11:51.714] [SEVERE ] removing player 2 token from slot 2
[15:11:51.714] [SEVERE ] removing player 2 token from slot 5
[15:11:51.715] [SEVERE ] removing player 2 token from slot 10
[15:11:51.715] [SEVERE ] player 4 placing token on slot 0
[15:11:51.715] [SEVERE ] removing player 3 token from slot 7
[15:11:51.715] [SEVERE ] player 2 placing token on slot 3
[15:11:51.715] [SEVERE ] player 1 placing token on slot 10
[15:11:51.716] [SEVERE ] player 2 placing token on slot 8
[15:11:51.715] [SEVERE ] player 3 placing token on slot 9
[15:11:51.715] [SEVERE ] removing player 4 token from slot 0
[15:11:51.717] [SEVERE ] player 3 placing token on slot 10
[15:11:51.716] [SEVERE ] player 2 placing token on slot 11
[15:11:51.716] [SEVERE ] player 1 placing token on slot 6
[15:11:51.717] [SEVERE ] player 4 placing token on slot 11
[15:11:51.718] [SEVERE ] removing player 3 token from slot 4
[15:11:51.718] [SEVERE ] removing player 3 token from slot 9
[15:11:51.718] [SEVERE ] removing player 3 token from slot 10
[15:11:51.719] [SEVERE ] player 4 placing token on slot 9
[15:11:51.719] [SEVERE ] removing player 2 token from slot 3
[15:11:51.719] [SEVERE ] removing player 2 token from slot 8
[15:11:51.720] [SEVERE ] removing player 2 token from slot 11
[15:11:51.720] [SEVERE ] player 3 placing token on slot 5
[15:11:51.720] [SEVERE ] player 2 placing token on slot 1
[15:11:51.720] [SEVERE ] removing player 4 token from slot 9
[15:11:51.721] [SEVERE ] removing player 1 token from slot 5
[15:11:51.721] [SEVERE ] removing player 1 token from slot 6
[15:11:51.721] [SEVERE ] removing player 1 token from slot 10
[15:11:51.721] [SEVERE ] player 3 placing token on slot 1
[15:11:51.721] [SEVERE ] player 4 placing token on slot 3
[15:11:51.721] [SEVERE ] player 2 placing token on slot 4
[15:11:51.721] [SEVERE ] player 1 placing token on slot 8
[15:11:51.722] [SEVERE ] player 2 placing token on slot 0
[15:11:51.722] [SEVERE ] player 4 placing token on slot 8
[15:11:51.722] [SEVERE ] player 3 placing token on slot 10
[15:11:51.722] [SEVERE ] player 1 placing token on slot 3
[15:11:51.724] [SEVERE ] removing player 2 token from slot 0
[15:11:51.724] [SEVERE ] removing player 2 token from slot 1
