[16:40:43.463] [INFO   ] thread main starting.
[16:40:43.476] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:40:43.479] [SEVERE ] configuration file was loaded from resources directory.
[16:40:44.673] [INFO   ] thread dealer starting.
[16:40:44.772] [SEVERE ] placing card 40 in slot 0
[16:40:44.798] [SEVERE ] placing card 51 in slot 1
[16:40:44.799] [SEVERE ] placing card 57 in slot 2
[16:40:44.800] [SEVERE ] placing card 37 in slot 3
[16:40:44.801] [SEVERE ] placing card 6 in slot 4
[16:40:44.802] [SEVERE ] placing card 41 in slot 5
[16:40:44.803] [SEVERE ] placing card 10 in slot 6
[16:40:44.805] [SEVERE ] placing card 16 in slot 7
[16:40:44.807] [SEVERE ] placing card 39 in slot 8
[16:40:44.809] [SEVERE ] placing card 68 in slot 9
[16:40:44.809] [SEVERE ] placing card 71 in slot 10
[16:40:44.822] [SEVERE ] placing card 72 in slot 11
[16:40:44.844] [SEVERE ] updating countdown to 1000
[16:40:44.844] [SEVERE ] player 4 placing token on slot 6
[16:40:44.844] [SEVERE ] player 2 placing token on slot 4
[16:40:44.844] [SEVERE ] player 1 placing token on slot 5
[16:40:44.844] [SEVERE ] player 3 placing token on slot 1
[16:40:44.846] [SEVERE ] removing player 1 token from slot 5
[16:40:44.846] [SEVERE ] player 4 placing token on slot 3
[16:40:44.846] [SEVERE ] player 2 placing token on slot 1
[16:40:44.848] [SEVERE ] player 4 placing token on slot 9
[16:40:44.847] [SEVERE ] player 1 placing token on slot 8
[16:40:44.847] [SEVERE ] removing player 3 token from slot 1
[16:40:44.848] [SEVERE ] player 2 placing token on slot 0
[16:40:44.852] [SEVERE ] removing player 4 token from slot 3
[16:40:44.852] [SEVERE ] removing player 4 token from slot 6
[16:40:44.853] [SEVERE ] removing player 4 token from slot 9
[16:40:44.854] [SEVERE ] player 1 placing token on slot 7
[16:40:44.854] [SEVERE ] player 3 placing token on slot 3
[16:40:44.854] [SEVERE ] player 4 placing token on slot 1
[16:40:44.855] [SEVERE ] removing player 2 token from slot 0
[16:40:44.856] [SEVERE ] removing player 2 token from slot 1
[16:40:44.857] [SEVERE ] removing player 2 token from slot 4
[16:40:44.858] [SEVERE ] removing player 1 token from slot 7
[16:40:44.858] [SEVERE ] player 4 placing token on slot 6
[16:40:44.858] [SEVERE ] player 2 placing token on slot 3
[16:40:44.858] [SEVERE ] player 3 placing token on slot 1
[16:40:44.859] [SEVERE ] player 2 placing token on slot 7
[16:40:44.859] [SEVERE ] player 4 placing token on slot 5
[16:40:44.858] [SEVERE ] player 1 placing token on slot 6
[16:40:44.860] [SEVERE ] player 2 placing token on slot 5
[16:40:44.860] [SEVERE ] player 3 placing token on slot 5
[16:40:44.862] [SEVERE ] removing player 4 token from slot 1
[16:40:44.863] [SEVERE ] removing player 4 token from slot 5
[16:40:44.864] [SEVERE ] removing player 4 token from slot 6
[16:40:44.864] [SEVERE ] player 1 placing token on slot 7
[16:40:44.864] [SEVERE ] player 4 placing token on slot 2
[16:40:44.866] [SEVERE ] removing player 2 token from slot 3
[16:40:44.866] [SEVERE ] removing player 2 token from slot 5
[16:40:44.867] [SEVERE ] removing player 2 token from slot 7
[16:40:44.867] [SEVERE ] removing player 4 token from slot 2
[16:40:44.868] [SEVERE ] removing player 3 token from slot 1
[16:40:44.869] [SEVERE ] removing player 3 token from slot 3
[16:40:44.869] [SEVERE ] removing player 3 token from slot 5
[16:40:44.869] [SEVERE ] player 2 placing token on slot 2
[16:40:44.870] [SEVERE ] player 3 placing token on slot 6
[16:40:44.869] [SEVERE ] player 4 placing token on slot 10
[16:40:44.871] [SEVERE ] removing player 1 token from slot 6
[16:40:44.872] [SEVERE ] removing player 1 token from slot 7
[16:40:44.873] [SEVERE ] removing player 1 token from slot 8
[16:40:44.874] [SEVERE ] player 2 placing token on slot 6
[16:40:44.874] [SEVERE ] player 4 placing token on slot 3
[16:40:44.874] [SEVERE ] player 3 placing token on slot 8
[16:40:44.874] [SEVERE ] player 1 placing token on slot 9
[16:40:44.875] [SEVERE ] player 3 placing token on slot 4
[16:40:44.875] [SEVERE ] player 4 placing token on slot 11
[16:40:44.875] [SEVERE ] player 2 placing token on slot 10
[16:40:44.876] [SEVERE ] player 1 placing token on slot 11
[16:40:44.878] [SEVERE ] removing player 3 token from slot 4
[16:40:44.878] [SEVERE ] removing player 3 token from slot 6
[16:40:44.879] [SEVERE ] removing player 3 token from slot 8
[16:40:44.879] [SEVERE ] player 1 placing token on slot 10
[16:40:44.880] [SEVERE ] player 3 placing token on slot 3
[16:40:44.881] [SEVERE ] removing player 4 token from slot 3
[16:40:44.881] [SEVERE ] removing player 4 token from slot 10
[16:40:44.882] [SEVERE ] removing player 4 token from slot 11
[16:40:44.882] [SEVERE ] player 3 placing token on slot 11
[16:40:44.882] [SEVERE ] player 4 placing token on slot 1
[16:40:44.884] [SEVERE ] removing player 2 token from slot 2
[16:40:44.885] [SEVERE ] removing player 2 token from slot 6
[16:40:44.885] [SEVERE ] removing player 2 token from slot 10
[16:40:44.886] [SEVERE ] removing player 3 token from slot 3
[16:40:44.886] [SEVERE ] player 4 placing token on slot 6
[16:40:44.886] [SEVERE ] player 2 placing token on slot 8
[16:40:44.888] [SEVERE ] removing player 1 token from slot 9
[16:40:44.889] [SEVERE ] removing player 1 token from slot 10
[16:40:44.889] [SEVERE ] removing player 1 token from slot 11
[16:40:44.890] [SEVERE ] player 3 placing token on slot 0
[16:40:44.890] [SEVERE ] player 1 placing token on slot 9
[16:40:44.890] [SEVERE ] player 2 placing token on slot 10
[16:40:44.890] [SEVERE ] player 4 placing token on slot 9
[16:40:44.892] [SEVERE ] player 2 placing token on slot 5
[16:40:44.891] [SEVERE ] player 1 placing token on slot 4
[16:40:44.891] [SEVERE ] player 3 placing token on slot 4
[16:40:44.894] [SEVERE ] removing player 4 token from slot 1
[16:40:44.894] [SEVERE ] removing player 4 token from slot 6
[16:40:44.895] [SEVERE ] removing player 4 token from slot 9
[16:40:44.895] [SEVERE ] player 1 placing token on slot 11
[16:40:44.895] [SEVERE ] player 4 placing token on slot 0
[16:40:44.897] [SEVERE ] removing player 2 token from slot 5
[16:40:44.898] [SEVERE ] removing player 2 token from slot 8
[16:40:44.898] [SEVERE ] removing player 2 token from slot 10
[16:40:44.899] [SEVERE ] player 2 placing token on slot 4
[16:40:44.899] [SEVERE ] player 4 placing token on slot 10
[16:40:44.900] [SEVERE ] removing player 3 token from slot 0
[16:40:44.901] [SEVERE ] removing player 3 token from slot 4
[16:40:44.901] [SEVERE ] removing player 3 token from slot 11
[16:40:44.902] [SEVERE ] player 2 placing token on slot 7
[16:40:44.902] [SEVERE ] player 4 placing token on slot 1
[16:40:44.902] [SEVERE ] player 3 placing token on slot 8
[16:40:44.904] [SEVERE ] removing player 1 token from slot 4
[16:40:44.904] [SEVERE ] removing player 1 token from slot 9
[16:40:44.905] [SEVERE ] removing player 1 token from slot 11
[16:40:44.905] [SEVERE ] player 2 placing token on slot 1
[16:40:44.906] [SEVERE ] player 3 placing token on slot 4
[16:40:44.905] [SEVERE ] player 1 placing token on slot 10
[16:40:44.908] [SEVERE ] removing player 4 token from slot 0
[16:40:44.909] [SEVERE ] removing player 4 token from slot 1
[16:40:44.910] [SEVERE ] removing player 4 token from slot 10
[16:40:44.910] [SEVERE ] player 3 placing token on slot 10
[16:40:44.911] [SEVERE ] player 1 placing token on slot 11
[16:40:44.912] [SEVERE ] removing player 2 token from slot 1
[16:40:44.912] [SEVERE ] removing player 2 token from slot 4
[16:40:44.913] [SEVERE ] removing player 2 token from slot 7
[16:40:44.914] [SEVERE ] player 2 placing token on slot 2
[16:40:44.914] [SEVERE ] player 1 placing token on slot 4
[16:40:44.914] [SEVERE ] player 4 placing token on slot 6
[16:40:44.915] [SEVERE ] removing player 3 token from slot 4
[16:40:44.916] [SEVERE ] removing player 3 token from slot 8
[16:40:44.916] [SEVERE ] removing player 3 token from slot 10
[16:40:44.917] [SEVERE ] player 2 placing token on slot 6
[16:40:44.917] [SEVERE ] player 4 placing token on slot 9
[16:40:44.917] [SEVERE ] player 3 placing token on slot 8
[16:40:44.918] [SEVERE ] removing player 1 token from slot 4
[16:40:44.919] [SEVERE ] removing player 1 token from slot 10
[16:40:44.920] [SEVERE ] removing player 1 token from slot 11
[16:40:44.920] [SEVERE ] player 2 placing token on slot 4
[16:40:44.920] [SEVERE ] player 1 placing token on slot 8
[16:40:44.920] [SEVERE ] player 3 placing token on slot 5
[16:40:44.920] [SEVERE ] player 4 placing token on slot 7
[16:40:44.922] [SEVERE ] removing player 2 token from slot 2
[16:40:44.923] [SEVERE ] removing player 2 token from slot 4
[16:40:44.924] [SEVERE ] removing player 2 token from slot 6
[16:40:44.925] [SEVERE ] player 1 placing token on slot 4
[16:40:44.925] [SEVERE ] player 3 placing token on slot 2
[16:40:44.925] [SEVERE ] player 2 placing token on slot 5
[16:40:44.926] [SEVERE ] removing player 4 token from slot 6
[16:40:44.928] [SEVERE ] removing player 4 token from slot 7
[16:40:44.928] [SEVERE ] removing player 4 token from slot 9
[16:40:44.929] [SEVERE ] player 1 placing token on slot 0
[16:40:44.929] [SEVERE ] player 4 placing token on slot 0
[16:40:44.929] [SEVERE ] player 2 placing token on slot 7
[16:40:44.930] [SEVERE ] removing player 3 token from slot 2
[16:40:44.931] [SEVERE ] removing player 3 token from slot 5
[16:40:44.932] [SEVERE ] removing player 3 token from slot 8
[16:40:44.933] [SEVERE ] removing player 1 token from slot 0
[16:40:44.934] [SEVERE ] removing player 1 token from slot 4
[16:40:44.935] [SEVERE ] removing player 1 token from slot 8
[16:40:44.935] [SEVERE ] player 4 placing token on slot 4
[16:40:44.936] [SEVERE ] player 3 placing token on slot 10
[16:40:44.935] [SEVERE ] player 2 placing token on slot 4
[16:40:44.935] [SEVERE ] player 1 placing token on slot 6
[16:40:44.936] [SEVERE ] player 3 placing token on slot 0
[16:40:44.936] [SEVERE ] removing player 4 token from slot 0
[16:40:44.938] [SEVERE ] removing player 2 token from slot 4
[16:40:44.938] [SEVERE ] removing player 2 token from slot 5
[16:40:44.939] [SEVERE ] removing player 2 token from slot 7
[16:40:44.940] [SEVERE ] player 1 placing token on slot 1
[16:40:44.940] [SEVERE ] player 4 placing token on slot 6
[16:40:44.940] [SEVERE ] player 2 placing token on slot 1
[16:40:44.940] [SEVERE ] player 3 placing token on slot 5
[16:40:44.941] [SEVERE ] player 2 placing token on slot 4
[16:40:44.941] [SEVERE ] removing player 4 token from slot 4
[16:40:44.940] [SEVERE ] player 1 placing token on slot 0
[16:40:44.943] [SEVERE ] removing player 3 token from slot 0
[16:40:44.943] [SEVERE ] removing player 3 token from slot 5
[16:40:44.944] [SEVERE ] removing player 3 token from slot 10
[16:40:44.944] [SEVERE ] player 2 placing token on slot 5
[16:40:44.944] [SEVERE ] player 4 placing token on slot 4
[16:40:44.944] [SEVERE ] player 3 placing token on slot 5
[16:40:44.946] [SEVERE ] removing player 1 token from slot 0
[16:40:44.946] [SEVERE ] removing player 1 token from slot 1
[16:40:44.947] [SEVERE ] removing player 1 token from slot 6
[16:40:44.947] [SEVERE ] player 1 placing token on slot 8
[16:40:44.948] [SEVERE ] player 3 placing token on slot 1
