[13:13:04.720] [INFO   ] thread main starting.
[13:13:04.730] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:13:04.733] [SEVERE ] configuration file was loaded from resources directory.
[13:13:05.380] [INFO   ] thread dealer starting.
[13:13:05.475] [SEVERE ] placing card 50 in slot 0
[13:13:05.476] [SEVERE ] placing card 9 in slot 1
[13:13:05.476] [SEVERE ] placing card 74 in slot 2
[13:13:05.476] [SEVERE ] placing card 2 in slot 3
[13:13:05.477] [SEVERE ] placing card 30 in slot 4
[13:13:05.477] [SEVERE ] placing card 57 in slot 5
[13:13:05.477] [SEVERE ] placing card 20 in slot 6
[13:13:05.477] [SEVERE ] placing card 25 in slot 7
[13:13:05.477] [SEVERE ] placing card 27 in slot 8
[13:13:05.478] [SEVERE ] placing card 14 in slot 9
[13:13:05.478] [SEVERE ] placing card 75 in slot 10
[13:13:05.478] [SEVERE ] placing card 48 in slot 11
[13:13:05.485] [SEVERE ] player 3 placing token on slot 3
[13:13:05.485] [SEVERE ] player 1 placing token on slot 5
[13:13:05.485] [SEVERE ] player 4 placing token on slot 3
[13:13:05.487] [SEVERE ] player 4 placing token on slot 4
[13:13:05.485] [SEVERE ] player 2 placing token on slot 2
[13:13:05.487] [SEVERE ] player 3 placing token on slot 7
[13:13:05.487] [SEVERE ] removing player 2 token from slot 2
[13:13:05.487] [SEVERE ] player 4 placing token on slot 5
[13:13:05.487] [SEVERE ] player 1 placing token on slot 11
[13:13:05.488] [SEVERE ] player 2 placing token on slot 3
[13:13:05.487] [SEVERE ] player 3 placing token on slot 4
[13:13:05.488] [SEVERE ] player 1 placing token on slot 7
[13:13:05.489] [SEVERE ] removing player 4 token from slot 3
[13:13:05.489] [SEVERE ] removing player 4 token from slot 4
[13:13:05.489] [SEVERE ] removing player 4 token from slot 5
[13:13:05.489] [SEVERE ] removing player 2 token from slot 3
[13:13:05.489] [SEVERE ] removing player 3 token from slot 3
[13:13:05.490] [SEVERE ] removing player 3 token from slot 4
[13:13:05.490] [SEVERE ] removing player 3 token from slot 7
