[15:22:34.388] [INFO   ] thread main starting.
[15:22:34.398] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:22:34.400] [SEVERE ] configuration file was loaded from resources directory.
[15:22:35.488] [INFO   ] thread dealer starting.
[15:22:35.583] [SEVERE ] placing card 69 in slot 0
[15:22:35.613] [SEVERE ] placing card 0 in slot 1
[15:22:35.613] [SEVERE ] placing card 8 in slot 2
[15:22:35.613] [SEVERE ] placing card 16 in slot 3
[15:22:35.615] [SEVERE ] placing card 10 in slot 4
[15:22:35.615] [SEVERE ] placing card 75 in slot 5
[15:22:35.616] [SEVERE ] placing card 15 in slot 6
[15:22:35.616] [SEVERE ] placing card 51 in slot 7
[15:22:35.617] [SEVERE ] placing card 78 in slot 8
[15:22:35.617] [SEVERE ] placing card 56 in slot 9
[15:22:35.618] [SEVERE ] placing card 13 in slot 10
[15:22:35.618] [SEVERE ] placing card 60 in slot 11
[15:22:35.634] [SEVERE ] player 3 placing token on slot 5
[15:22:35.634] [SEVERE ] player 4 placing token on slot 2
[15:22:35.634] [SEVERE ] player 1 placing token on slot 10
[15:22:35.634] [SEVERE ] player 2 placing token on slot 6
[15:22:35.637] [SEVERE ] player 4 placing token on slot 7
[15:22:35.636] [SEVERE ] player 1 placing token on slot 1
[15:22:35.636] [SEVERE ] player 3 placing token on slot 7
[15:22:35.638] [SEVERE ] player 1 placing token on slot 5
[15:22:35.637] [SEVERE ] player 4 placing token on slot 1
[15:22:35.637] [SEVERE ] player 2 placing token on slot 11
[15:22:35.639] [SEVERE ] removing player 3 token from slot 5
[15:22:35.641] [SEVERE ] removing player 1 token from slot 1
[15:22:35.641] [SEVERE ] removing player 1 token from slot 5
[15:22:35.642] [SEVERE ] removing player 1 token from slot 10
[15:22:35.643] [SEVERE ] player 2 placing token on slot 10
[15:22:35.643] [SEVERE ] player 3 placing token on slot 3
[15:22:35.645] [SEVERE ] removing player 4 token from slot 1
[15:22:35.646] [SEVERE ] removing player 4 token from slot 2
[15:22:35.646] [SEVERE ] removing player 4 token from slot 7
[15:22:35.647] [SEVERE ] player 1 placing token on slot 7
[15:22:35.647] [SEVERE ] player 3 placing token on slot 4
[15:22:35.648] [SEVERE ] removing player 2 token from slot 6
[15:22:35.649] [SEVERE ] removing player 2 token from slot 10
[15:22:35.649] [SEVERE ] removing player 2 token from slot 11
[15:22:35.651] [SEVERE ] removing player 3 token from slot 3
[15:22:35.652] [SEVERE ] removing player 3 token from slot 4
[15:22:35.653] [SEVERE ] removing player 3 token from slot 7
[15:22:35.654] [SEVERE ] player 4 placing token on slot 9
[15:22:35.654] [SEVERE ] player 3 placing token on slot 5
[15:22:35.654] [SEVERE ] player 2 placing token on slot 7
[15:22:35.654] [SEVERE ] removing player 1 token from slot 7
[15:22:35.656] [SEVERE ] player 2 placing token on slot 0
[15:22:35.656] [SEVERE ] player 3 placing token on slot 3
[15:22:35.656] [SEVERE ] player 4 placing token on slot 7
[15:22:35.658] [SEVERE ] removing player 3 token from slot 3
[15:22:35.658] [SEVERE ] player 2 placing token on slot 4
[15:22:35.657] [SEVERE ] player 1 placing token on slot 8
[15:22:35.662] [SEVERE ] player 1 placing token on slot 3
[15:22:35.660] [SEVERE ] player 3 placing token on slot 4
[15:22:35.660] [SEVERE ] player 4 placing token on slot 1
[15:22:35.664] [SEVERE ] removing player 2 token from slot 0
[15:22:35.665] [SEVERE ] removing player 2 token from slot 4
[15:22:35.665] [SEVERE ] removing player 2 token from slot 7
[15:22:35.666] [SEVERE ] player 1 placing token on slot 5
[15:22:35.666] [SEVERE ] player 2 placing token on slot 11
[15:22:35.666] [SEVERE ] removing player 3 token from slot 4
[15:22:35.669] [SEVERE ] removing player 4 token from slot 1
[15:22:35.669] [SEVERE ] removing player 4 token from slot 7
[15:22:35.670] [SEVERE ] removing player 4 token from slot 9
[15:22:35.671] [SEVERE ] player 2 placing token on slot 4
[15:22:35.671] [SEVERE ] player 3 placing token on slot 7
[15:22:35.673] [SEVERE ] removing player 1 token from slot 3
[15:22:35.673] [SEVERE ] removing player 1 token from slot 5
[15:22:35.674] [SEVERE ] removing player 1 token from slot 8
[15:22:35.674] [SEVERE ] player 4 placing token on slot 6
[15:22:35.674] [SEVERE ] removing player 3 token from slot 7
[15:22:35.674] [SEVERE ] player 1 placing token on slot 4
[15:22:35.674] [SEVERE ] player 2 placing token on slot 1
[15:22:35.677] [SEVERE ] removing player 1 token from slot 4
[15:22:35.676] [SEVERE ] player 3 placing token on slot 2
[15:22:35.675] [SEVERE ] player 4 placing token on slot 11
[15:22:35.679] [SEVERE ] removing player 2 token from slot 1
[15:22:35.680] [SEVERE ] removing player 2 token from slot 4
[15:22:35.680] [SEVERE ] removing player 2 token from slot 11
[15:22:35.682] [SEVERE ] player 2 placing token on slot 0
[15:22:35.682] [SEVERE ] removing player 4 token from slot 6
[15:22:35.682] [SEVERE ] player 1 placing token on slot 4
[15:22:35.682] [SEVERE ] player 3 placing token on slot 8
[15:22:35.685] [SEVERE ] player 1 placing token on slot 8
[15:22:35.684] [SEVERE ] player 4 placing token on slot 3
[15:22:35.684] [SEVERE ] player 2 placing token on slot 11
[15:22:35.688] [SEVERE ] removing player 3 token from slot 2
[15:22:35.688] [SEVERE ] removing player 3 token from slot 5
[15:22:35.689] [SEVERE ] removing player 3 token from slot 8
[15:22:35.690] [SEVERE ] player 1 placing token on slot 6
[15:22:35.690] [SEVERE ] player 2 placing token on slot 1
[15:22:35.690] [SEVERE ] player 4 placing token on slot 10
[15:22:35.690] [SEVERE ] player 3 placing token on slot 7
[15:22:35.694] [SEVERE ] removing player 1 token from slot 4
[15:22:35.695] [SEVERE ] removing player 1 token from slot 6
[15:22:35.696] [SEVERE ] removing player 1 token from slot 8
