[15:12:03.767] [INFO   ] thread main starting.
[15:12:03.776] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:12:03.779] [SEVERE ] configuration file was loaded from resources directory.
[15:12:04.384] [INFO   ] thread dealer starting.
[15:12:04.471] [SEVERE ] placing card 73 in slot 0
[15:12:04.472] [SEVERE ] placing card 12 in slot 1
[15:12:04.472] [SEVERE ] placing card 23 in slot 2
[15:12:04.473] [SEVERE ] placing card 58 in slot 3
[15:12:04.473] [SEVERE ] placing card 61 in slot 4
[15:12:04.474] [SEVERE ] placing card 8 in slot 5
[15:12:04.474] [SEVERE ] placing card 9 in slot 6
[15:12:04.474] [SEVERE ] placing card 79 in slot 7
[15:12:04.475] [SEVERE ] placing card 29 in slot 8
[15:12:04.475] [SEVERE ] placing card 41 in slot 9
[15:12:04.476] [SEVERE ] placing card 51 in slot 10
[15:12:04.486] [SEVERE ] placing card 28 in slot 11
[15:12:04.497] [SEVERE ] updating countdown to 1000
[15:12:04.497] [SEVERE ] player 3 placing token on slot 6
[15:12:04.497] [SEVERE ] player 2 placing token on slot 9
[15:12:04.497] [SEVERE ] player 4 placing token on slot 7
[15:12:04.497] [SEVERE ] player 1 placing token on slot 2
[15:12:04.499] [SEVERE ] player 2 placing token on slot 4
[15:12:04.499] [SEVERE ] removing player 4 token from slot 7
[15:12:04.499] [SEVERE ] player 3 placing token on slot 8
[15:12:04.500] [SEVERE ] player 4 placing token on slot 2
[15:12:04.500] [SEVERE ] player 2 placing token on slot 0
[15:12:04.499] [SEVERE ] player 1 placing token on slot 5
[15:12:04.500] [SEVERE ] player 4 placing token on slot 8
[15:12:04.500] [SEVERE ] player 3 placing token on slot 11
[15:12:04.501] [SEVERE ] removing player 2 token from slot 0
[15:12:04.502] [SEVERE ] removing player 2 token from slot 4
[15:12:04.502] [SEVERE ] removing player 2 token from slot 9
[15:12:04.502] [SEVERE ] player 1 placing token on slot 1
[15:12:04.502] [SEVERE ] player 4 placing token on slot 4
[15:12:04.502] [SEVERE ] removing player 3 token from slot 6
[15:12:04.503] [SEVERE ] removing player 3 token from slot 8
[15:12:04.503] [SEVERE ] removing player 3 token from slot 11
[15:12:04.504] [SEVERE ] removing player 1 token from slot 1
[15:12:04.504] [SEVERE ] removing player 1 token from slot 2
[15:12:04.504] [SEVERE ] removing player 1 token from slot 5
[15:12:04.504] [SEVERE ] player 2 placing token on slot 8
[15:12:04.504] [SEVERE ] player 3 placing token on slot 7
[15:12:04.504] [SEVERE ] player 1 placing token on slot 10
[15:12:04.505] [SEVERE ] removing player 4 token from slot 2
[15:12:04.506] [SEVERE ] removing player 4 token from slot 4
[15:12:04.506] [SEVERE ] removing player 4 token from slot 8
[15:12:04.506] [SEVERE ] player 4 placing token on slot 3
[15:12:04.507] [SEVERE ] player 2 placing token on slot 10
[15:12:04.507] [SEVERE ] player 1 placing token on slot 6
[15:12:04.507] [SEVERE ] player 1 placing token on slot 0
[15:12:04.507] [SEVERE ] player 3 placing token on slot 3
[15:12:04.507] [SEVERE ] player 4 placing token on slot 6
[15:12:04.507] [SEVERE ] player 2 placing token on slot 5
[15:12:04.508] [SEVERE ] removing player 1 token from slot 0
[15:12:04.509] [SEVERE ] removing player 1 token from slot 6
[15:12:04.509] [SEVERE ] removing player 1 token from slot 10
[15:12:04.510] [SEVERE ] player 3 placing token on slot 2
[15:12:04.510] [SEVERE ] player 1 placing token on slot 5
[15:12:04.510] [SEVERE ] player 4 placing token on slot 2
[15:12:04.511] [SEVERE ] removing player 2 token from slot 5
[15:12:04.512] [SEVERE ] removing player 2 token from slot 8
[15:12:04.512] [SEVERE ] removing player 2 token from slot 10
[15:12:04.512] [SEVERE ] player 1 placing token on slot 6
