[16:44:37.085] [INFO   ] thread main starting.
[16:44:37.099] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:44:37.103] [SEVERE ] configuration file was loaded from resources directory.
[16:44:38.161] [INFO   ] thread dealer starting.
[16:44:38.256] [SEVERE ] placing card 22 in slot 0
[16:44:38.293] [SEVERE ] placing card 5 in slot 1
[16:44:38.294] [SEVERE ] placing card 15 in slot 2
[16:44:38.294] [SEVERE ] placing card 28 in slot 3
[16:44:38.295] [SEVERE ] placing card 33 in slot 4
[16:44:38.296] [SEVERE ] placing card 21 in slot 5
[16:44:38.296] [SEVERE ] placing card 48 in slot 6
[16:44:38.297] [SEVERE ] placing card 20 in slot 7
[16:44:38.298] [SEVERE ] placing card 45 in slot 8
[16:44:38.299] [SEVERE ] placing card 53 in slot 9
[16:44:38.299] [SEVERE ] placing card 11 in slot 10
[16:44:38.300] [SEVERE ] placing card 63 in slot 11
[16:44:38.319] [SEVERE ] updating countdown to 5000
[16:44:38.320] [SEVERE ] player 1 placing token on slot 9
[16:44:38.320] [SEVERE ] player 3 placing token on slot 2
[16:44:38.322] [SEVERE ] player 1 placing token on slot 10
[16:44:38.323] [SEVERE ] player 1 placing token on slot 6
[16:44:38.320] [SEVERE ] player 4 placing token on slot 10
[16:44:38.320] [SEVERE ] player 2 placing token on slot 10
[16:44:38.327] [SEVERE ] player 4 placing token on slot 2
[16:44:38.325] [SEVERE ] player 3 placing token on slot 0
[16:44:38.333] [SEVERE ] removing player 1 token from slot 6
[16:44:38.336] [SEVERE ] removing player 1 token from slot 9
[16:44:38.337] [SEVERE ] removing player 1 token from slot 10
[16:44:38.338] [SEVERE ] player 2 placing token on slot 11
[16:44:38.338] [SEVERE ] player 3 placing token on slot 3
[16:44:38.338] [SEVERE ] player 1 placing token on slot 8
[16:44:38.338] [SEVERE ] player 4 placing token on slot 1
[16:44:38.339] [SEVERE ] player 2 placing token on slot 2
[16:44:38.352] [SEVERE ] removing player 3 token from slot 0
[16:44:38.352] [SEVERE ] removing player 3 token from slot 2
[16:44:38.353] [SEVERE ] removing player 3 token from slot 3
[16:44:38.354] [SEVERE ] player 1 placing token on slot 2
[16:44:38.354] [SEVERE ] player 3 placing token on slot 9
[16:44:38.356] [SEVERE ] removing player 4 token from slot 1
[16:44:38.358] [SEVERE ] removing player 4 token from slot 2
[16:44:38.359] [SEVERE ] removing player 4 token from slot 10
[16:44:38.359] [SEVERE ] player 1 placing token on slot 0
[16:44:38.360] [SEVERE ] player 3 placing token on slot 10
[16:44:38.360] [SEVERE ] player 4 placing token on slot 10
[16:44:38.362] [SEVERE ] removing player 2 token from slot 2
[16:44:38.363] [SEVERE ] removing player 2 token from slot 10
[16:44:38.363] [SEVERE ] removing player 2 token from slot 11
[16:44:38.364] [SEVERE ] removing player 3 token from slot 10
[16:44:38.365] [SEVERE ] player 2 placing token on slot 9
[16:44:38.365] [SEVERE ] removing player 4 token from slot 10
[16:44:38.367] [SEVERE ] removing player 1 token from slot 0
[16:44:38.369] [SEVERE ] removing player 1 token from slot 2
[16:44:38.370] [SEVERE ] removing player 1 token from slot 8
[16:44:38.371] [SEVERE ] player 3 placing token on slot 4
[16:44:38.371] [SEVERE ] player 4 placing token on slot 1
[16:44:38.371] [SEVERE ] player 2 placing token on slot 1
[16:44:38.371] [SEVERE ] player 1 placing token on slot 3
[16:44:38.373] [SEVERE ] removing player 2 token from slot 1
[16:44:38.372] [SEVERE ] player 4 placing token on slot 11
[16:44:38.372] [SEVERE ] player 3 placing token on slot 8
[16:44:38.375] [SEVERE ] player 4 placing token on slot 5
[16:44:38.374] [SEVERE ] player 2 placing token on slot 3
[16:44:38.373] [SEVERE ] player 1 placing token on slot 7
[16:44:38.378] [SEVERE ] removing player 3 token from slot 4
[16:44:38.379] [SEVERE ] removing player 3 token from slot 8
[16:44:38.379] [SEVERE ] removing player 3 token from slot 9
[16:44:38.381] [SEVERE ] player 2 placing token on slot 11
[16:44:38.381] [SEVERE ] player 3 placing token on slot 3
[16:44:38.381] [SEVERE ] player 1 placing token on slot 9
[16:44:38.383] [SEVERE ] removing player 4 token from slot 1
[16:44:38.384] [SEVERE ] removing player 4 token from slot 5
[16:44:38.384] [SEVERE ] removing player 4 token from slot 11
[16:44:38.385] [SEVERE ] removing player 2 token from slot 3
[16:44:38.386] [SEVERE ] removing player 2 token from slot 9
[16:44:38.386] [SEVERE ] removing player 2 token from slot 11
[16:44:38.387] [SEVERE ] player 3 placing token on slot 11
[16:44:38.387] [SEVERE ] player 2 placing token on slot 1
[16:44:38.387] [SEVERE ] player 4 placing token on slot 4
[16:44:38.389] [SEVERE ] removing player 1 token from slot 3
[16:44:38.390] [SEVERE ] removing player 1 token from slot 7
[16:44:38.391] [SEVERE ] removing player 1 token from slot 9
[16:44:38.392] [SEVERE ] player 3 placing token on slot 0
[16:44:38.392] [SEVERE ] player 1 placing token on slot 9
[16:44:38.392] [SEVERE ] player 2 placing token on slot 0
[16:44:38.392] [SEVERE ] player 4 placing token on slot 2
[16:44:38.395] [SEVERE ] removing player 3 token from slot 0
[16:44:38.395] [SEVERE ] removing player 3 token from slot 3
[16:44:38.396] [SEVERE ] removing player 3 token from slot 11
[16:44:38.397] [SEVERE ] player 1 placing token on slot 10
[16:44:38.397] [SEVERE ] player 4 placing token on slot 6
