[15:10:13.608] [INFO   ] thread main starting.
[15:10:13.616] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:10:13.619] [SEVERE ] configuration file was loaded from resources directory.
[15:10:14.245] [INFO   ] thread dealer starting.
[15:10:14.333] [SEVERE ] placing card 46 in slot 0
[15:10:14.334] [SEVERE ] placing card 40 in slot 1
[15:10:14.334] [SEVERE ] placing card 15 in slot 2
[15:10:14.334] [SEVERE ] placing card 24 in slot 3
[15:10:14.334] [SEVERE ] placing card 56 in slot 4
[15:10:14.335] [SEVERE ] placing card 11 in slot 5
[15:10:14.335] [SEVERE ] placing card 78 in slot 6
[15:10:14.335] [SEVERE ] placing card 26 in slot 7
[15:10:14.335] [SEVERE ] placing card 31 in slot 8
[15:10:14.336] [SEVERE ] placing card 52 in slot 9
[15:10:14.336] [SEVERE ] placing card 57 in slot 10
[15:10:14.336] [SEVERE ] placing card 61 in slot 11
[15:10:14.348] [SEVERE ] updating countdown to 1000
[15:10:14.348] [SEVERE ] player 4 placing token on slot 6
[15:10:14.348] [SEVERE ] player 2 placing token on slot 1
[15:10:14.348] [SEVERE ] player 3 placing token on slot 9
[15:10:14.349] [SEVERE ] player 4 placing token on slot 9
[15:10:14.348] [SEVERE ] player 1 placing token on slot 8
[15:10:14.350] [SEVERE ] removing player 4 token from slot 9
[15:10:14.349] [SEVERE ] player 2 placing token on slot 9
[15:10:14.349] [SEVERE ] player 3 placing token on slot 3
[15:10:14.350] [SEVERE ] removing player 2 token from slot 9
[15:10:14.350] [SEVERE ] player 4 placing token on slot 0
[15:10:14.350] [SEVERE ] player 1 placing token on slot 10
[15:10:14.351] [SEVERE ] player 4 placing token on slot 4
[15:10:14.351] [SEVERE ] player 2 placing token on slot 11
[15:10:14.351] [SEVERE ] player 3 placing token on slot 5
[15:10:14.351] [SEVERE ] removing player 1 token from slot 8
[15:10:14.352] [SEVERE ] removing player 4 token from slot 0
[15:10:14.352] [SEVERE ] removing player 4 token from slot 4
[15:10:14.353] [SEVERE ] removing player 4 token from slot 6
[15:10:14.353] [SEVERE ] player 2 placing token on slot 3
[15:10:14.353] [SEVERE ] player 1 placing token on slot 9
[15:10:14.354] [SEVERE ] removing player 3 token from slot 3
[15:10:14.354] [SEVERE ] removing player 3 token from slot 5
[15:10:14.354] [SEVERE ] removing player 3 token from slot 9
[15:10:14.354] [SEVERE ] player 4 placing token on slot 0
[15:10:14.354] [SEVERE ] player 1 placing token on slot 11
[15:10:14.355] [SEVERE ] removing player 2 token from slot 1
[15:10:14.355] [SEVERE ] removing player 2 token from slot 3
[15:10:14.355] [SEVERE ] removing player 2 token from slot 11
[15:10:14.356] [SEVERE ] player 3 placing token on slot 10
[15:10:14.356] [SEVERE ] player 4 placing token on slot 9
[15:10:14.356] [SEVERE ] removing player 1 token from slot 9
[15:10:14.356] [SEVERE ] removing player 1 token from slot 10
[15:10:14.357] [SEVERE ] removing player 1 token from slot 11
[15:10:14.357] [SEVERE ] player 2 placing token on slot 9
[15:10:14.357] [SEVERE ] player 1 placing token on slot 6
[15:10:14.357] [SEVERE ] player 4 placing token on slot 11
[15:10:14.357] [SEVERE ] player 3 placing token on slot 4
[15:10:14.358] [SEVERE ] player 1 placing token on slot 9
[15:10:14.357] [SEVERE ] player 2 placing token on slot 7
[15:10:14.359] [SEVERE ] removing player 4 token from slot 0
[15:10:14.359] [SEVERE ] removing player 4 token from slot 9
[15:10:14.359] [SEVERE ] removing player 4 token from slot 11
[15:10:14.360] [SEVERE ] player 4 placing token on slot 7
[15:10:14.360] [SEVERE ] player 1 placing token on slot 5
[15:10:14.360] [SEVERE ] player 3 placing token on slot 8
[15:10:14.360] [SEVERE ] player 4 placing token on slot 2
[15:10:14.360] [SEVERE ] player 2 placing token on slot 4
[15:10:14.361] [SEVERE ] removing player 1 token from slot 5
[15:10:14.362] [SEVERE ] removing player 1 token from slot 6
[15:10:14.362] [SEVERE ] removing player 1 token from slot 9
[15:10:14.362] [SEVERE ] removing player 4 token from slot 7
[15:10:14.363] [SEVERE ] removing player 3 token from slot 4
[15:10:14.363] [SEVERE ] removing player 3 token from slot 8
[15:10:14.363] [SEVERE ] removing player 3 token from slot 10
[15:10:14.364] [SEVERE ] player 4 placing token on slot 11
[15:10:14.364] [SEVERE ] player 1 placing token on slot 7
[15:10:14.365] [SEVERE ] removing player 2 token from slot 4
[15:10:14.365] [SEVERE ] removing player 2 token from slot 7
[15:10:14.365] [SEVERE ] removing player 2 token from slot 9
[15:10:14.366] [SEVERE ] player 3 placing token on slot 10
[15:10:14.366] [SEVERE ] player 2 placing token on slot 5
[15:10:14.366] [SEVERE ] player 1 placing token on slot 9
[15:10:14.366] [SEVERE ] player 4 placing token on slot 7
[15:10:14.367] [SEVERE ] player 1 placing token on slot 3
[15:10:14.366] [SEVERE ] player 2 placing token on slot 9
[15:10:14.366] [SEVERE ] player 3 placing token on slot 0
[15:10:14.367] [SEVERE ] removing player 4 token from slot 2
[15:10:14.368] [SEVERE ] removing player 4 token from slot 7
[15:10:14.368] [SEVERE ] removing player 4 token from slot 11
[15:10:14.368] [SEVERE ] player 2 placing token on slot 6
[15:10:14.368] [SEVERE ] player 3 placing token on slot 8
[15:10:14.369] [SEVERE ] removing player 1 token from slot 3
[15:10:14.369] [SEVERE ] removing player 1 token from slot 7
[15:10:14.369] [SEVERE ] removing player 1 token from slot 9
[15:10:14.369] [SEVERE ] player 4 placing token on slot 2
[15:10:14.370] [SEVERE ] removing player 2 token from slot 5
[15:10:14.370] [SEVERE ] removing player 2 token from slot 6
[15:10:14.370] [SEVERE ] removing player 2 token from slot 9
[15:10:14.370] [SEVERE ] player 1 placing token on slot 5
[15:10:14.370] [SEVERE ] player 4 placing token on slot 11
[15:10:14.371] [SEVERE ] removing player 3 token from slot 0
[15:10:14.371] [SEVERE ] removing player 3 token from slot 8
[15:10:14.371] [SEVERE ] removing player 3 token from slot 10
[15:10:14.371] [SEVERE ] player 2 placing token on slot 3
[15:10:14.371] [SEVERE ] player 3 placing token on slot 7
[15:10:14.371] [SEVERE ] removing player 4 token from slot 11
[15:10:14.371] [SEVERE ] player 1 placing token on slot 8
[15:10:14.372] [SEVERE ] player 4 placing token on slot 4
[15:10:14.372] [SEVERE ] player 3 placing token on slot 2
[15:10:14.371] [SEVERE ] player 2 placing token on slot 6
[15:10:14.373] [SEVERE ] player 3 placing token on slot 3
[15:10:14.372] [SEVERE ] player 4 placing token on slot 8
[15:10:14.372] [SEVERE ] player 1 placing token on slot 1
[15:10:14.373] [SEVERE ] removing player 2 token from slot 3
[15:10:14.374] [SEVERE ] removing player 3 token from slot 2
[15:10:14.374] [SEVERE ] removing player 3 token from slot 3
[15:10:14.374] [SEVERE ] removing player 3 token from slot 7
[15:10:14.375] [SEVERE ] removing player 2 token from slot 6
[15:10:14.375] [SEVERE ] removing player 4 token from slot 2
[15:10:14.375] [SEVERE ] removing player 4 token from slot 4
[15:10:14.376] [SEVERE ] removing player 4 token from slot 8
[15:10:14.376] [SEVERE ] player 3 placing token on slot 7
[15:10:14.376] [SEVERE ] player 2 placing token on slot 0
[15:10:14.376] [SEVERE ] player 4 placing token on slot 6
