[15:23:01.412] [INFO   ] thread main starting.
[15:23:01.422] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:23:01.425] [SEVERE ] configuration file was loaded from resources directory.
[15:23:02.761] [INFO   ] thread dealer starting.
[15:23:02.863] [SEVERE ] placing card 26 in slot 0
[15:23:02.875] [SEVERE ] placing card 64 in slot 1
[15:23:02.876] [SEVERE ] placing card 30 in slot 2
[15:23:02.876] [SEVERE ] placing card 28 in slot 3
[15:23:02.877] [SEVERE ] placing card 16 in slot 4
[15:23:02.877] [SEVERE ] placing card 34 in slot 5
[15:23:02.877] [SEVERE ] placing card 68 in slot 6
[15:23:02.880] [SEVERE ] placing card 79 in slot 7
[15:23:02.880] [SEVERE ] placing card 73 in slot 8
[15:23:02.881] [SEVERE ] placing card 6 in slot 9
[15:23:02.881] [SEVERE ] placing card 11 in slot 10
[15:23:02.881] [SEVERE ] placing card 18 in slot 11
[15:23:02.898] [SEVERE ] player 2 placing token on slot 8
[15:23:02.898] [SEVERE ] player 1 placing token on slot 0
[15:23:02.898] [SEVERE ] player 4 placing token on slot 7
[15:23:02.898] [SEVERE ] player 3 placing token on slot 4
[15:23:02.900] [SEVERE ] player 2 placing token on slot 9
[15:23:02.899] [SEVERE ] player 4 placing token on slot 8
[15:23:02.899] [SEVERE ] player 1 placing token on slot 2
[15:23:02.901] [SEVERE ] player 4 placing token on slot 9
[15:23:02.900] [SEVERE ] player 2 placing token on slot 1
[15:23:02.900] [SEVERE ] player 3 placing token on slot 3
[15:23:02.901] [SEVERE ] removing player 1 token from slot 0
[15:23:02.903] [SEVERE ] removing player 4 token from slot 7
[15:23:02.904] [SEVERE ] removing player 4 token from slot 8
[15:23:02.904] [SEVERE ] removing player 4 token from slot 9
[15:23:02.908] [SEVERE ] removing player 2 token from slot 1
[15:23:02.909] [SEVERE ] removing player 2 token from slot 8
[15:23:02.909] [SEVERE ] removing player 2 token from slot 9
[15:23:02.910] [SEVERE ] player 3 placing token on slot 8
[15:23:02.910] [SEVERE ] player 1 placing token on slot 5
[15:23:02.911] [SEVERE ] player 1 placing token on slot 7
[15:23:02.910] [SEVERE ] player 2 placing token on slot 0
[15:23:02.911] [SEVERE ] player 4 placing token on slot 9
[15:23:02.912] [SEVERE ] removing player 3 token from slot 3
[15:23:02.913] [SEVERE ] removing player 3 token from slot 4
[15:23:02.914] [SEVERE ] removing player 3 token from slot 8
[15:23:02.915] [SEVERE ] player 2 placing token on slot 2
[15:23:02.916] [SEVERE ] player 4 placing token on slot 8
[15:23:02.917] [SEVERE ] removing player 1 token from slot 2
[15:23:02.917] [SEVERE ] removing player 1 token from slot 5
[15:23:02.917] [SEVERE ] removing player 1 token from slot 7
[15:23:02.918] [SEVERE ] player 3 placing token on slot 7
[15:23:02.918] [SEVERE ] player 4 placing token on slot 0
[15:23:02.918] [SEVERE ] player 2 placing token on slot 6
[15:23:02.918] [SEVERE ] player 1 placing token on slot 10
[15:23:02.919] [SEVERE ] player 3 placing token on slot 9
[15:23:02.921] [SEVERE ] removing player 4 token from slot 0
[15:23:02.921] [SEVERE ] removing player 4 token from slot 8
[15:23:02.922] [SEVERE ] removing player 4 token from slot 9
[15:23:02.922] [SEVERE ] player 1 placing token on slot 5
[15:23:02.923] [SEVERE ] player 3 placing token on slot 2
[15:23:02.923] [SEVERE ] player 4 placing token on slot 8
[15:23:02.924] [SEVERE ] removing player 2 token from slot 0
[15:23:02.924] [SEVERE ] removing player 2 token from slot 2
[15:23:02.925] [SEVERE ] removing player 2 token from slot 6
[15:23:02.926] [SEVERE ] removing player 1 token from slot 10
[15:23:02.926] [SEVERE ] player 4 placing token on slot 2
[15:23:02.928] [SEVERE ] removing player 3 token from slot 2
[15:23:02.928] [SEVERE ] removing player 3 token from slot 7
[15:23:02.930] [SEVERE ] removing player 3 token from slot 9
[15:23:02.930] [SEVERE ] player 2 placing token on slot 10
[15:23:02.931] [SEVERE ] player 3 placing token on slot 2
[15:23:02.931] [SEVERE ] player 4 placing token on slot 5
[15:23:02.930] [SEVERE ] player 1 placing token on slot 11
[15:23:02.932] [SEVERE ] player 3 placing token on slot 4
[15:23:02.931] [SEVERE ] player 2 placing token on slot 3
[15:23:02.934] [SEVERE ] removing player 4 token from slot 2
[15:23:02.935] [SEVERE ] removing player 4 token from slot 5
[15:23:02.936] [SEVERE ] removing player 4 token from slot 8
[15:23:02.936] [SEVERE ] player 1 placing token on slot 2
[15:23:02.936] [SEVERE ] player 4 placing token on slot 2
[15:23:02.936] [SEVERE ] player 2 placing token on slot 4
[15:23:02.936] [SEVERE ] removing player 3 token from slot 4
[15:23:02.938] [SEVERE ] removing player 1 token from slot 2
[15:23:02.939] [SEVERE ] removing player 1 token from slot 5
[15:23:02.940] [SEVERE ] removing player 1 token from slot 11
[15:23:02.940] [SEVERE ] removing player 2 token from slot 3
[15:23:02.941] [SEVERE ] removing player 2 token from slot 4
[15:23:02.941] [SEVERE ] removing player 2 token from slot 10
[15:23:02.942] [SEVERE ] player 4 placing token on slot 9
[15:23:02.942] [SEVERE ] player 2 placing token on slot 0
[15:23:02.942] [SEVERE ] player 1 placing token on slot 3
[15:23:02.942] [SEVERE ] player 3 placing token on slot 4
[15:23:02.943] [SEVERE ] player 1 placing token on slot 7
[15:23:02.943] [SEVERE ] player 2 placing token on slot 11
[15:23:02.942] [SEVERE ] player 4 placing token on slot 3
[15:23:02.945] [SEVERE ] player 2 placing token on slot 7
[15:23:02.944] [SEVERE ] player 1 placing token on slot 2
[15:23:02.944] [SEVERE ] player 3 placing token on slot 5
[15:23:02.948] [SEVERE ] removing player 4 token from slot 2
[15:23:02.948] [SEVERE ] removing player 4 token from slot 3
[15:23:02.949] [SEVERE ] removing player 4 token from slot 9
[15:23:02.950] [SEVERE ] removing player 2 token from slot 0
[15:23:02.950] [SEVERE ] removing player 2 token from slot 7
[15:23:02.950] [SEVERE ] removing player 2 token from slot 11
[15:23:02.951] [SEVERE ] player 4 placing token on slot 11
[15:23:02.952] [SEVERE ] removing player 1 token from slot 2
[15:23:02.952] [SEVERE ] removing player 1 token from slot 3
[15:23:02.953] [SEVERE ] removing player 1 token from slot 7
[15:23:02.953] [SEVERE ] player 2 placing token on slot 9
[15:23:02.953] [SEVERE ] player 4 placing token on slot 8
[15:23:02.954] [SEVERE ] removing player 3 token from slot 2
[15:23:02.955] [SEVERE ] removing player 3 token from slot 4
[15:23:02.956] [SEVERE ] removing player 3 token from slot 5
[15:23:02.956] [SEVERE ] player 1 placing token on slot 5
[15:23:02.958] [SEVERE ] player 1 placing token on slot 8
[15:23:02.957] [SEVERE ] player 3 placing token on slot 6
[15:23:02.956] [SEVERE ] player 4 placing token on slot 4
[15:23:02.956] [SEVERE ] player 2 placing token on slot 8
[15:23:02.959] [SEVERE ] player 3 placing token on slot 7
[15:23:02.958] [SEVERE ] removing player 1 token from slot 8
[15:23:02.961] [SEVERE ] removing player 4 token from slot 4
[15:23:02.962] [SEVERE ] removing player 4 token from slot 8
[15:23:02.962] [SEVERE ] removing player 4 token from slot 11
[15:23:02.963] [SEVERE ] player 2 placing token on slot 6
[15:23:02.964] [SEVERE ] player 4 placing token on slot 9
[15:23:02.964] [SEVERE ] player 1 placing token on slot 1
[15:23:02.963] [SEVERE ] player 3 placing token on slot 0
[15:23:02.966] [SEVERE ] removing player 2 token from slot 6
[15:23:02.967] [SEVERE ] removing player 2 token from slot 8
[15:23:02.967] [SEVERE ] removing player 2 token from slot 9
[15:23:02.968] [SEVERE ] player 4 placing token on slot 3
[15:23:02.968] [SEVERE ] player 1 placing token on slot 4
[15:23:02.969] [SEVERE ] removing player 3 token from slot 0
[15:23:02.970] [SEVERE ] removing player 3 token from slot 6
[15:23:02.970] [SEVERE ] removing player 3 token from slot 7
[15:23:02.971] [SEVERE ] player 2 placing token on slot 11
[15:23:02.971] [SEVERE ] removing player 4 token from slot 3
[15:23:02.971] [SEVERE ] player 3 placing token on slot 10
[15:23:02.973] [SEVERE ] removing player 1 token from slot 1
[15:23:02.973] [SEVERE ] removing player 1 token from slot 4
[15:23:02.974] [SEVERE ] removing player 1 token from slot 5
[15:23:02.974] [SEVERE ] player 2 placing token on slot 1
[15:23:02.974] [SEVERE ] player 3 placing token on slot 4
[15:23:02.974] [SEVERE ] player 1 placing token on slot 8
[15:23:02.974] [SEVERE ] player 4 placing token on slot 10
[15:23:02.976] [SEVERE ] player 1 placing token on slot 1
[15:23:02.975] [SEVERE ] player 3 placing token on slot 5
[15:23:02.975] [SEVERE ] player 2 placing token on slot 6
[15:23:02.976] [SEVERE ] removing player 1 token from slot 8
[15:23:02.976] [SEVERE ] player 4 placing token on slot 1
[15:23:02.979] [SEVERE ] removing player 3 token from slot 4
[15:23:02.980] [SEVERE ] removing player 3 token from slot 5
[15:23:02.981] [SEVERE ] removing player 3 token from slot 10
[15:23:02.981] [SEVERE ] player 1 placing token on slot 3
[15:23:02.982] [SEVERE ] removing player 2 token from slot 1
[15:23:02.983] [SEVERE ] removing player 2 token from slot 6
[15:23:02.983] [SEVERE ] removing player 2 token from slot 11
[15:23:02.984] [SEVERE ] player 3 placing token on slot 5
[15:23:02.984] [SEVERE ] removing player 1 token from slot 1
[15:23:02.985] [SEVERE ] removing player 4 token from slot 1
[15:23:02.985] [SEVERE ] removing player 4 token from slot 9
[15:23:02.986] [SEVERE ] removing player 4 token from slot 10
[15:23:02.986] [SEVERE ] player 2 placing token on slot 5
[15:23:02.987] [SEVERE ] player 2 placing token on slot 8
[15:23:02.987] [SEVERE ] removing player 2 token from slot 8
[15:23:02.988] [SEVERE ] player 2 placing token on slot 7
[15:23:02.988] [SEVERE ] player 2 placing token on slot 3
[15:23:02.989] [SEVERE ] player 3 placing token on slot 6
[15:23:02.990] [SEVERE ] player 3 placing token on slot 11
[15:23:02.989] [SEVERE ] player 4 placing token on slot 5
[15:23:02.989] [SEVERE ] player 1 placing token on slot 6
[15:23:02.992] [SEVERE ] removing player 2 token from slot 3
[15:23:02.992] [SEVERE ] removing player 2 token from slot 5
[15:23:02.993] [SEVERE ] removing player 2 token from slot 7
[15:23:02.993] [SEVERE ] removing player 3 token from slot 5
[15:23:02.994] [SEVERE ] removing player 4 token from slot 5
[15:23:02.995] [SEVERE ] removing card from slot 5
[15:23:02.999] [SEVERE ] removing player 1 token from slot 6
[15:23:03.001] [SEVERE ] removing player 3 token from slot 6
[15:23:03.001] [SEVERE ] removing card from slot 6
[15:23:03.002] [SEVERE ] removing player 3 token from slot 11
[15:23:03.003] [SEVERE ] removing card from slot 11
[15:23:03.006] [SEVERE ] placing card 39 in slot 5
[15:23:03.010] [SEVERE ] placing card 2 in slot 6
[15:23:03.015] [SEVERE ] placing card 20 in slot 11
[15:23:03.024] [SEVERE ] player 4 placing token on slot 6
[15:23:03.024] [SEVERE ] player 2 placing token on slot 0
[15:23:03.024] [SEVERE ] player 1 placing token on slot 6
[15:23:03.024] [SEVERE ] setting player 3 score to 1
[15:23:03.025] [SEVERE ] player 1 placing token on slot 7
[15:23:03.025] [SEVERE ] player 2 placing token on slot 8
[15:23:03.025] [SEVERE ] player 4 placing token on slot 1
[15:23:03.026] [SEVERE ] player 3 placing token on slot 10
[15:23:03.028] [SEVERE ] removing player 1 token from slot 3
[15:23:03.028] [SEVERE ] removing player 1 token from slot 6
[15:23:03.029] [SEVERE ] removing player 1 token from slot 7
[15:23:03.029] [SEVERE ] player 2 placing token on slot 11
[15:23:03.029] [SEVERE ] player 1 placing token on slot 11
[15:23:03.031] [SEVERE ] player 1 placing token on slot 2
[15:23:03.032] [SEVERE ] player 3 placing token on slot 0
[15:23:03.031] [SEVERE ] player 4 placing token on slot 7
[15:23:03.033] [SEVERE ] removing player 2 token from slot 0
[15:23:03.034] [SEVERE ] removing player 2 token from slot 8
[15:23:03.035] [SEVERE ] removing player 2 token from slot 11
[15:23:03.035] [SEVERE ] removing player 1 token from slot 11
[15:23:03.036] [SEVERE ] player 3 placing token on slot 8
[15:23:03.036] [SEVERE ] player 2 placing token on slot 3
[15:23:03.037] [SEVERE ] removing player 4 token from slot 1
[15:23:03.037] [SEVERE ] removing player 4 token from slot 6
[15:23:03.038] [SEVERE ] removing player 4 token from slot 7
[15:23:03.038] [SEVERE ] player 1 placing token on slot 7
[15:23:03.038] [SEVERE ] player 2 placing token on slot 4
[15:23:03.039] [SEVERE ] removing player 3 token from slot 0
[15:23:03.039] [SEVERE ] removing player 3 token from slot 8
[15:23:03.040] [SEVERE ] removing player 3 token from slot 10
[15:23:03.040] [SEVERE ] player 4 placing token on slot 3
[15:23:03.040] [SEVERE ] player 2 placing token on slot 5
[15:23:03.040] [SEVERE ] player 1 placing token on slot 11
[15:23:03.042] [SEVERE ] player 3 placing token on slot 0
[15:23:03.042] [SEVERE ] player 3 placing token on slot 5
[15:23:03.043] [SEVERE ] player 3 placing token on slot 11
[15:23:03.041] [SEVERE ] player 4 placing token on slot 2
[15:23:03.044] [SEVERE ] removing player 2 token from slot 3
[15:23:03.045] [SEVERE ] removing player 2 token from slot 4
[15:23:03.045] [SEVERE ] removing player 2 token from slot 5
[15:23:03.045] [SEVERE ] removing player 1 token from slot 2
[15:23:03.046] [SEVERE ] removing player 1 token from slot 7
[15:23:03.046] [SEVERE ] removing player 1 token from slot 11
[15:23:03.047] [SEVERE ] removing player 3 token from slot 0
[15:23:03.047] [SEVERE ] removing player 3 token from slot 5
[15:23:03.048] [SEVERE ] removing player 3 token from slot 11
[15:23:03.048] [SEVERE ] player 4 placing token on slot 4
[15:23:03.048] [SEVERE ] player 3 placing token on slot 4
[15:23:03.048] [SEVERE ] player 1 placing token on slot 9
[15:23:03.048] [SEVERE ] player 2 placing token on slot 8
[15:23:03.050] [SEVERE ] removing player 4 token from slot 2
[15:23:03.050] [SEVERE ] removing player 4 token from slot 3
[15:23:03.051] [SEVERE ] removing player 4 token from slot 4
[15:23:03.051] [SEVERE ] player 3 placing token on slot 3
[15:23:03.051] [SEVERE ] player 2 placing token on slot 9
[15:23:03.051] [SEVERE ] player 4 placing token on slot 9
[15:23:03.051] [SEVERE ] player 1 placing token on slot 10
[15:23:03.053] [SEVERE ] player 4 placing token on slot 2
[15:23:03.052] [SEVERE ] player 2 placing token on slot 10
[15:23:03.052] [SEVERE ] player 3 placing token on slot 2
[15:23:03.054] [SEVERE ] player 4 placing token on slot 8
[15:23:03.053] [SEVERE ] player 1 placing token on slot 3
[15:23:03.055] [SEVERE ] removing player 2 token from slot 8
[15:23:03.056] [SEVERE ] removing player 2 token from slot 9
[15:23:03.056] [SEVERE ] removing player 2 token from slot 10
[15:23:03.057] [SEVERE ] removing player 3 token from slot 2
[15:23:03.057] [SEVERE ] removing player 3 token from slot 3
[15:23:03.057] [SEVERE ] removing player 3 token from slot 4
[15:23:03.058] [SEVERE ] player 2 placing token on slot 3
[15:23:03.058] [SEVERE ] removing player 4 token from slot 2
[15:23:03.059] [SEVERE ] removing player 4 token from slot 8
[15:23:03.060] [SEVERE ] removing player 4 token from slot 9
[15:23:03.060] [SEVERE ] removing player 1 token from slot 3
[15:23:03.061] [SEVERE ] removing player 1 token from slot 9
[15:23:03.061] [SEVERE ] removing player 1 token from slot 10
[15:23:03.062] [SEVERE ] player 2 placing token on slot 2
[15:23:03.062] [SEVERE ] player 4 placing token on slot 6
[15:23:03.062] [SEVERE ] player 3 placing token on slot 9
[15:23:03.062] [SEVERE ] player 1 placing token on slot 7
[15:23:03.063] [SEVERE ] player 3 placing token on slot 3
[15:23:03.063] [SEVERE ] player 4 placing token on slot 4
[15:23:03.062] [SEVERE ] player 2 placing token on slot 8
[15:23:03.064] [SEVERE ] player 4 placing token on slot 0
[15:23:03.064] [SEVERE ] player 3 placing token on slot 11
[15:23:03.064] [SEVERE ] player 1 placing token on slot 2
[15:23:03.066] [SEVERE ] removing player 2 token from slot 2
[15:23:03.067] [SEVERE ] removing player 2 token from slot 3
[15:23:03.067] [SEVERE ] removing player 2 token from slot 8
[15:23:03.067] [SEVERE ] player 1 placing token on slot 5
[15:23:03.068] [SEVERE ] removing player 4 token from slot 0
[15:23:03.068] [SEVERE ] removing player 4 token from slot 4
[15:23:03.069] [SEVERE ] removing player 4 token from slot 6
[15:23:03.069] [SEVERE ] player 2 placing token on slot 10
[15:23:03.070] [SEVERE ] removing player 3 token from slot 3
[15:23:03.070] [SEVERE ] removing player 3 token from slot 9
[15:23:03.071] [SEVERE ] removing player 3 token from slot 11
[15:23:03.071] [SEVERE ] player 4 placing token on slot 9
[15:23:03.071] [SEVERE ] player 2 placing token on slot 1
[15:23:03.072] [SEVERE ] removing player 1 token from slot 2
[15:23:03.073] [SEVERE ] removing player 1 token from slot 5
[15:23:03.073] [SEVERE ] removing player 1 token from slot 7
[15:23:03.074] [SEVERE ] player 3 placing token on slot 10
[15:23:03.074] [SEVERE ] player 1 placing token on slot 11
[15:23:03.074] [SEVERE ] removing player 2 token from slot 10
[15:23:03.074] [SEVERE ] player 4 placing token on slot 1
[15:23:03.075] [SEVERE ] player 4 placing token on slot 8
[15:23:03.074] [SEVERE ] player 3 placing token on slot 7
[15:23:03.075] [SEVERE ] player 2 placing token on slot 9
[15:23:03.075] [SEVERE ] player 1 placing token on slot 10
[15:23:03.077] [SEVERE ] removing player 4 token from slot 1
[15:23:03.078] [SEVERE ] removing player 4 token from slot 8
[15:23:03.078] [SEVERE ] removing player 4 token from slot 9
[15:23:03.079] [SEVERE ] player 3 placing token on slot 5
[15:23:03.079] [SEVERE ] player 4 placing token on slot 10
[15:23:03.079] [SEVERE ] player 1 placing token on slot 8
[15:23:03.079] [SEVERE ] player 2 placing token on slot 8
[15:23:03.081] [SEVERE ] removing player 3 token from slot 5
[15:23:03.081] [SEVERE ] removing player 3 token from slot 7
[15:23:03.081] [SEVERE ] removing player 3 token from slot 10
[15:23:03.082] [SEVERE ] player 4 placing token on slot 8
[15:23:03.082] [SEVERE ] removing player 1 token from slot 8
[15:23:03.082] [SEVERE ] removing player 1 token from slot 10
[15:23:03.083] [SEVERE ] removing player 1 token from slot 11
[15:23:03.083] [SEVERE ] player 3 placing token on slot 0
[15:23:03.083] [SEVERE ] player 4 placing token on slot 2
[15:23:03.084] [SEVERE ] removing player 2 token from slot 1
[15:23:03.084] [SEVERE ] removing player 2 token from slot 8
[15:23:03.085] [SEVERE ] removing player 2 token from slot 9
