[16:40:29.808] [INFO   ] thread main starting.
[16:40:29.817] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:40:29.820] [SEVERE ] configuration file was loaded from resources directory.
[16:40:30.677] [INFO   ] thread dealer starting.
[16:40:30.776] [SEVERE ] placing card 42 in slot 0
[16:40:30.778] [SEVERE ] placing card 53 in slot 1
[16:40:30.779] [SEVERE ] placing card 66 in slot 2
[16:40:30.779] [SEVERE ] placing card 74 in slot 3
[16:40:30.780] [SEVERE ] placing card 5 in slot 4
[16:40:30.780] [SEVERE ] placing card 77 in slot 5
[16:40:30.781] [SEVERE ] placing card 67 in slot 6
[16:40:30.783] [SEVERE ] placing card 73 in slot 7
[16:40:30.784] [SEVERE ] placing card 24 in slot 8
[16:40:30.784] [SEVERE ] placing card 52 in slot 9
[16:40:30.784] [SEVERE ] placing card 57 in slot 10
[16:40:30.785] [SEVERE ] placing card 59 in slot 11
[16:40:30.805] [SEVERE ] updating countdown to 1000
[16:40:30.806] [SEVERE ] player 1 placing token on slot 5
[16:40:30.808] [SEVERE ] player 1 placing token on slot 0
[16:40:30.809] [SEVERE ] removing player 1 token from slot 5
[16:40:30.810] [SEVERE ] player 1 placing token on slot 7
[16:40:30.811] [SEVERE ] removing player 1 token from slot 7
[16:40:30.807] [SEVERE ] player 2 placing token on slot 1
[16:40:30.806] [SEVERE ] player 4 placing token on slot 8
[16:40:30.813] [SEVERE ] player 4 placing token on slot 3
[16:40:30.813] [SEVERE ] player 2 placing token on slot 2
[16:40:30.812] [SEVERE ] player 1 placing token on slot 10
[16:40:30.815] [SEVERE ] removing player 1 token from slot 0
[16:40:30.816] [SEVERE ] player 1 placing token on slot 7
[16:40:30.816] [SEVERE ] player 1 placing token on slot 8
[16:40:30.811] [SEVERE ] player 3 placing token on slot 0
[16:40:30.814] [SEVERE ] player 2 placing token on slot 11
[16:40:30.814] [SEVERE ] removing player 4 token from slot 8
[16:40:30.821] [SEVERE ] removing player 1 token from slot 7
[16:40:30.822] [SEVERE ] removing player 1 token from slot 8
[16:40:30.823] [SEVERE ] removing player 1 token from slot 10
[16:40:30.824] [SEVERE ] removing player 2 token from slot 1
[16:40:30.825] [SEVERE ] removing player 2 token from slot 2
[16:40:30.826] [SEVERE ] removing player 2 token from slot 11
[16:40:30.827] [SEVERE ] player 4 placing token on slot 10
[16:40:30.827] [SEVERE ] player 1 placing token on slot 1
[16:40:30.828] [SEVERE ] player 1 placing token on slot 8
[16:40:30.827] [SEVERE ] player 3 placing token on slot 11
[16:40:30.829] [SEVERE ] player 1 placing token on slot 9
[16:40:30.828] [SEVERE ] player 4 placing token on slot 1
[16:40:30.828] [SEVERE ] player 2 placing token on slot 1
[16:40:30.830] [SEVERE ] player 3 placing token on slot 8
[16:40:30.834] [SEVERE ] removing player 1 token from slot 1
[16:40:30.835] [SEVERE ] removing player 1 token from slot 8
[16:40:30.836] [SEVERE ] removing player 1 token from slot 9
[16:40:30.837] [SEVERE ] player 2 placing token on slot 11
[16:40:30.837] [SEVERE ] removing player 4 token from slot 1
[16:40:30.838] [SEVERE ] removing player 4 token from slot 3
[16:40:30.839] [SEVERE ] removing player 4 token from slot 10
[16:40:30.840] [SEVERE ] player 1 placing token on slot 1
[16:40:30.840] [SEVERE ] player 2 placing token on slot 10
[16:40:30.840] [SEVERE ] player 4 placing token on slot 2
[16:40:30.842] [SEVERE ] removing player 3 token from slot 0
[16:40:30.843] [SEVERE ] removing player 3 token from slot 8
[16:40:30.843] [SEVERE ] removing player 3 token from slot 11
[16:40:30.844] [SEVERE ] player 1 placing token on slot 11
[16:40:30.844] [SEVERE ] player 3 placing token on slot 10
[16:40:30.844] [SEVERE ] player 4 placing token on slot 6
[16:40:30.846] [SEVERE ] removing player 2 token from slot 1
[16:40:30.847] [SEVERE ] removing player 2 token from slot 10
[16:40:30.848] [SEVERE ] removing player 2 token from slot 11
[16:40:30.848] [SEVERE ] removing player 1 token from slot 1
[16:40:30.848] [SEVERE ] player 2 placing token on slot 7
[16:40:30.848] [SEVERE ] player 4 placing token on slot 5
[16:40:30.848] [SEVERE ] player 3 placing token on slot 1
[16:40:30.849] [SEVERE ] player 2 placing token on slot 3
[16:40:30.849] [SEVERE ] player 1 placing token on slot 9
[16:40:30.852] [SEVERE ] removing player 4 token from slot 2
[16:40:30.853] [SEVERE ] removing player 4 token from slot 5
[16:40:30.853] [SEVERE ] removing player 4 token from slot 6
[16:40:30.854] [SEVERE ] player 3 placing token on slot 7
[16:40:30.854] [SEVERE ] player 1 placing token on slot 6
[16:40:30.854] [SEVERE ] player 4 placing token on slot 9
