[16:42:00.204] [INFO   ] thread main starting.
[16:42:00.215] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:42:00.218] [SEVERE ] configuration file was loaded from resources directory.
[16:42:01.446] [INFO   ] thread dealer starting.
[16:42:01.552] [SEVERE ] placing card 31 in slot 0
[16:42:01.577] [SEVERE ] placing card 12 in slot 1
[16:42:01.578] [SEVERE ] placing card 16 in slot 2
[16:42:01.578] [SEVERE ] placing card 4 in slot 3
[16:42:01.579] [SEVERE ] placing card 71 in slot 4
[16:42:01.579] [SEVERE ] placing card 17 in slot 5
[16:42:01.580] [SEVERE ] placing card 11 in slot 6
[16:42:01.590] [SEVERE ] placing card 43 in slot 7
[16:42:01.590] [SEVERE ] placing card 24 in slot 8
[16:42:01.591] [SEVERE ] placing card 29 in slot 9
[16:42:01.591] [SEVERE ] placing card 18 in slot 10
[16:42:01.592] [SEVERE ] placing card 13 in slot 11
[16:42:01.611] [SEVERE ] updating countdown to 1000
[16:42:01.612] [SEVERE ] player 4 placing token on slot 0
[16:42:01.613] [SEVERE ] player 1 placing token on slot 0
[16:42:01.614] [SEVERE ] player 1 placing token on slot 5
[16:42:01.615] [SEVERE ] player 1 placing token on slot 10
[16:42:01.612] [SEVERE ] player 2 placing token on slot 9
[16:42:01.617] [SEVERE ] player 2 placing token on slot 7
[16:42:01.612] [SEVERE ] player 3 placing token on slot 6
[16:42:01.614] [SEVERE ] player 4 placing token on slot 8
[16:42:01.624] [SEVERE ] removing player 1 token from slot 0
[16:42:01.625] [SEVERE ] removing player 1 token from slot 5
[16:42:01.626] [SEVERE ] removing player 1 token from slot 10
[16:42:01.627] [SEVERE ] player 2 placing token on slot 6
[16:42:01.627] [SEVERE ] player 1 placing token on slot 0
[16:42:01.627] [SEVERE ] player 4 placing token on slot 2
[16:42:01.627] [SEVERE ] player 3 placing token on slot 9
[16:42:01.630] [SEVERE ] removing player 2 token from slot 6
[16:42:01.630] [SEVERE ] removing player 2 token from slot 7
[16:42:01.631] [SEVERE ] removing player 2 token from slot 9
[16:42:01.632] [SEVERE ] player 1 placing token on slot 9
[16:42:01.632] [SEVERE ] player 3 placing token on slot 10
[16:42:01.632] [SEVERE ] player 2 placing token on slot 1
[16:42:01.634] [SEVERE ] removing player 4 token from slot 0
[16:42:01.635] [SEVERE ] removing player 4 token from slot 2
[16:42:01.635] [SEVERE ] removing player 4 token from slot 8
[16:42:01.636] [SEVERE ] player 1 placing token on slot 2
[16:42:01.636] [SEVERE ] removing player 2 token from slot 1
[16:42:01.637] [SEVERE ] removing player 3 token from slot 6
