[16:41:11.424] [INFO   ] thread main starting.
[16:41:11.434] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:41:11.436] [SEVERE ] configuration file was loaded from resources directory.
[16:41:12.609] [INFO   ] thread dealer starting.
[16:41:12.730] [SEVERE ] placing card 39 in slot 0
[16:41:12.735] [SEVERE ] placing card 10 in slot 1
[16:41:12.736] [SEVERE ] placing card 14 in slot 2
[16:41:12.736] [SEVERE ] placing card 44 in slot 3
[16:41:12.737] [SEVERE ] placing card 26 in slot 4
[16:41:12.738] [SEVERE ] placing card 69 in slot 5
[16:41:12.738] [SEVERE ] placing card 1 in slot 6
[16:41:12.740] [SEVERE ] placing card 49 in slot 7
[16:41:12.741] [SEVERE ] placing card 32 in slot 8
[16:41:12.741] [SEVERE ] placing card 18 in slot 9
[16:41:12.742] [SEVERE ] placing card 65 in slot 10
[16:41:12.742] [SEVERE ] placing card 54 in slot 11
[16:41:12.761] [SEVERE ] player 2 placing token on slot 7
[16:41:12.761] [SEVERE ] player 3 placing token on slot 10
[16:41:12.763] [SEVERE ] updating countdown to 1000
[16:41:12.763] [SEVERE ] removing player 3 token from slot 10
[16:41:12.764] [SEVERE ] player 3 placing token on slot 9
[16:41:12.763] [SEVERE ] player 2 placing token on slot 6
[16:41:12.766] [SEVERE ] removing player 2 token from slot 7
[16:41:12.766] [SEVERE ] player 2 placing token on slot 11
[16:41:12.767] [SEVERE ] removing player 2 token from slot 6
[16:41:12.768] [SEVERE ] player 2 placing token on slot 2
[16:41:12.769] [SEVERE ] player 2 placing token on slot 10
[16:41:12.765] [SEVERE ] player 4 placing token on slot 1
[16:41:12.765] [SEVERE ] player 3 placing token on slot 6
[16:41:12.771] [SEVERE ] player 3 placing token on slot 7
[16:41:12.764] [SEVERE ] player 1 placing token on slot 9
[16:41:12.775] [SEVERE ] player 1 placing token on slot 5
[16:41:12.770] [SEVERE ] removing player 4 token from slot 1
[16:41:12.781] [SEVERE ] removing player 2 token from slot 2
[16:41:12.794] [SEVERE ] removing player 2 token from slot 10
[16:41:12.795] [SEVERE ] removing player 2 token from slot 11
[16:41:12.796] [SEVERE ] removing player 1 token from slot 5
[16:41:12.796] [SEVERE ] player 2 placing token on slot 0
[16:41:12.796] [SEVERE ] player 4 placing token on slot 5
[16:41:12.797] [SEVERE ] removing player 3 token from slot 6
[16:41:12.798] [SEVERE ] removing player 3 token from slot 7
[16:41:12.798] [SEVERE ] removing player 3 token from slot 9
[16:41:12.799] [SEVERE ] player 1 placing token on slot 6
[16:41:12.799] [SEVERE ] player 4 placing token on slot 3
[16:41:12.799] [SEVERE ] player 3 placing token on slot 3
[16:41:12.799] [SEVERE ] player 2 placing token on slot 1
[16:41:12.801] [SEVERE ] player 3 placing token on slot 6
[16:41:12.800] [SEVERE ] player 4 placing token on slot 9
[16:41:12.800] [SEVERE ] player 1 placing token on slot 11
[16:41:12.802] [SEVERE ] player 3 placing token on slot 2
[16:41:12.801] [SEVERE ] player 2 placing token on slot 4
[16:41:12.804] [SEVERE ] removing player 4 token from slot 3
[16:41:12.805] [SEVERE ] removing player 4 token from slot 5
[16:41:12.806] [SEVERE ] removing player 4 token from slot 9
[16:41:12.807] [SEVERE ] player 4 placing token on slot 4
[16:41:12.807] [SEVERE ] removing player 1 token from slot 6
[16:41:12.808] [SEVERE ] removing player 1 token from slot 9
[16:41:12.808] [SEVERE ] removing player 1 token from slot 11
[16:41:12.809] [SEVERE ] player 4 placing token on slot 5
[16:41:12.809] [SEVERE ] player 1 placing token on slot 1
[16:41:12.810] [SEVERE ] removing player 3 token from slot 2
[16:41:12.811] [SEVERE ] removing player 3 token from slot 3
[16:41:12.811] [SEVERE ] removing player 3 token from slot 6
[16:41:12.812] [SEVERE ] player 4 placing token on slot 1
[16:41:12.812] [SEVERE ] player 3 placing token on slot 5
[16:41:12.812] [SEVERE ] removing player 1 token from slot 1
[16:41:12.813] [SEVERE ] removing player 2 token from slot 0
[16:41:12.814] [SEVERE ] removing player 2 token from slot 1
[16:41:12.814] [SEVERE ] removing player 2 token from slot 4
[16:41:12.815] [SEVERE ] removing player 3 token from slot 5
[16:41:12.815] [SEVERE ] player 2 placing token on slot 4
[16:41:12.815] [SEVERE ] player 1 placing token on slot 4
[16:41:12.817] [SEVERE ] removing player 4 token from slot 1
[16:41:12.818] [SEVERE ] removing player 4 token from slot 4
[16:41:12.819] [SEVERE ] removing player 4 token from slot 5
[16:41:12.819] [SEVERE ] player 3 placing token on slot 8
[16:41:12.820] [SEVERE ] player 4 placing token on slot 7
[16:41:12.820] [SEVERE ] player 1 placing token on slot 11
[16:41:12.819] [SEVERE ] player 2 placing token on slot 11
[16:41:12.821] [SEVERE ] player 1 placing token on slot 7
[16:41:12.821] [SEVERE ] player 4 placing token on slot 11
[16:41:12.820] [SEVERE ] player 3 placing token on slot 5
[16:41:12.821] [SEVERE ] player 2 placing token on slot 5
[16:41:12.824] [SEVERE ] removing player 1 token from slot 4
[16:41:12.825] [SEVERE ] removing player 1 token from slot 7
[16:41:12.826] [SEVERE ] removing player 1 token from slot 11
[16:41:12.827] [SEVERE ] player 4 placing token on slot 8
[16:41:12.827] [SEVERE ] player 1 placing token on slot 2
[16:41:12.827] [SEVERE ] player 3 placing token on slot 10
[16:41:12.828] [SEVERE ] removing player 2 token from slot 4
[16:41:12.829] [SEVERE ] removing player 2 token from slot 5
[16:41:12.829] [SEVERE ] removing player 2 token from slot 11
[16:41:12.830] [SEVERE ] player 1 placing token on slot 8
[16:41:12.830] [SEVERE ] player 2 placing token on slot 9
[16:41:12.831] [SEVERE ] removing player 4 token from slot 7
[16:41:12.832] [SEVERE ] removing player 4 token from slot 8
[16:41:12.833] [SEVERE ] removing player 4 token from slot 11
[16:41:12.833] [SEVERE ] player 1 placing token on slot 1
[16:41:12.833] [SEVERE ] player 4 placing token on slot 0
[16:41:12.833] [SEVERE ] player 2 placing token on slot 5
[16:41:12.835] [SEVERE ] removing player 3 token from slot 5
[16:41:12.836] [SEVERE ] removing player 3 token from slot 8
[16:41:12.836] [SEVERE ] removing player 3 token from slot 10
[16:41:12.837] [SEVERE ] player 4 placing token on slot 9
[16:41:12.837] [SEVERE ] player 3 placing token on slot 5
[16:41:12.837] [SEVERE ] player 2 placing token on slot 7
[16:41:12.839] [SEVERE ] removing player 1 token from slot 1
[16:41:12.841] [SEVERE ] removing player 1 token from slot 2
[16:41:12.842] [SEVERE ] removing player 1 token from slot 8
[16:41:12.842] [SEVERE ] removing player 4 token from slot 0
[16:41:12.842] [SEVERE ] player 1 placing token on slot 0
[16:41:12.842] [SEVERE ] player 3 placing token on slot 8
[16:41:12.844] [SEVERE ] removing player 2 token from slot 5
[16:41:12.845] [SEVERE ] removing player 2 token from slot 7
[16:41:12.845] [SEVERE ] removing player 2 token from slot 9
[16:41:12.846] [SEVERE ] player 4 placing token on slot 5
[16:41:12.847] [SEVERE ] player 3 placing token on slot 2
[16:41:12.847] [SEVERE ] player 1 placing token on slot 5
[16:41:12.846] [SEVERE ] player 2 placing token on slot 3
[16:41:12.848] [SEVERE ] player 1 placing token on slot 7
[16:41:12.847] [SEVERE ] player 4 placing token on slot 2
[16:41:12.850] [SEVERE ] removing player 3 token from slot 2
[16:41:12.851] [SEVERE ] removing player 3 token from slot 5
[16:41:12.852] [SEVERE ] removing player 3 token from slot 8
[16:41:12.852] [SEVERE ] player 2 placing token on slot 7
[16:41:12.852] [SEVERE ] player 3 placing token on slot 7
[16:41:12.854] [SEVERE ] removing player 1 token from slot 0
[16:41:12.854] [SEVERE ] removing player 1 token from slot 5
[16:41:12.855] [SEVERE ] removing player 1 token from slot 7
[16:41:12.856] [SEVERE ] player 2 placing token on slot 6
[16:41:12.856] [SEVERE ] player 1 placing token on slot 7
[16:41:12.856] [SEVERE ] player 3 placing token on slot 8
[16:41:12.857] [SEVERE ] removing player 4 token from slot 2
[16:41:12.858] [SEVERE ] removing player 4 token from slot 5
[16:41:12.859] [SEVERE ] removing player 4 token from slot 9
[16:41:12.859] [SEVERE ] player 1 placing token on slot 9
[16:41:12.860] [SEVERE ] player 4 placing token on slot 10
[16:41:12.859] [SEVERE ] player 3 placing token on slot 11
[16:41:12.861] [SEVERE ] removing player 2 token from slot 3
[16:41:12.862] [SEVERE ] removing player 2 token from slot 6
[16:41:12.862] [SEVERE ] removing player 2 token from slot 7
[16:41:12.863] [SEVERE ] player 1 placing token on slot 8
[16:41:12.863] [SEVERE ] player 2 placing token on slot 4
[16:41:12.863] [SEVERE ] player 4 placing token on slot 0
[16:41:12.864] [SEVERE ] removing player 3 token from slot 7
[16:41:12.868] [SEVERE ] removing player 3 token from slot 8
[16:41:12.869] [SEVERE ] removing player 3 token from slot 11
[16:41:12.869] [SEVERE ] player 2 placing token on slot 8
[16:41:12.869] [SEVERE ] player 3 placing token on slot 7
[16:41:12.869] [SEVERE ] player 4 placing token on slot 6
[16:41:12.871] [SEVERE ] removing player 1 token from slot 7
[16:41:12.876] [SEVERE ] removing player 1 token from slot 8
[16:41:12.876] [SEVERE ] removing player 1 token from slot 9
[16:41:12.878] [SEVERE ] player 2 placing token on slot 1
[16:41:12.878] [SEVERE ] player 1 placing token on slot 7
[16:41:12.878] [SEVERE ] player 3 placing token on slot 8
[16:41:12.880] [SEVERE ] removing player 4 token from slot 0
[16:41:12.880] [SEVERE ] removing player 4 token from slot 6
[16:41:12.881] [SEVERE ] removing player 4 token from slot 10
[16:41:12.881] [SEVERE ] player 1 placing token on slot 10
[16:41:12.881] [SEVERE ] player 4 placing token on slot 3
[16:41:12.881] [SEVERE ] player 3 placing token on slot 1
[16:41:12.884] [SEVERE ] removing player 2 token from slot 1
[16:41:12.884] [SEVERE ] removing player 2 token from slot 4
[16:41:12.885] [SEVERE ] removing player 2 token from slot 8
[16:41:12.886] [SEVERE ] player 2 placing token on slot 9
[16:41:12.886] [SEVERE ] player 4 placing token on slot 6
[16:41:12.886] [SEVERE ] removing player 1 token from slot 10
[16:41:12.887] [SEVERE ] removing player 3 token from slot 1
[16:41:12.888] [SEVERE ] removing player 3 token from slot 7
[16:41:12.888] [SEVERE ] removing player 3 token from slot 8
[16:41:12.889] [SEVERE ] player 2 placing token on slot 2
[16:41:12.889] [SEVERE ] player 3 placing token on slot 0
[16:41:12.889] [SEVERE ] player 1 placing token on slot 11
[16:41:12.889] [SEVERE ] player 4 placing token on slot 4
[16:41:12.891] [SEVERE ] player 1 placing token on slot 5
[16:41:12.890] [SEVERE ] player 3 placing token on slot 1
[16:41:12.890] [SEVERE ] player 2 placing token on slot 4
[16:41:12.893] [SEVERE ] removing player 4 token from slot 3
[16:41:12.893] [SEVERE ] removing player 4 token from slot 4
[16:41:12.894] [SEVERE ] removing player 4 token from slot 6
[16:41:12.894] [SEVERE ] player 3 placing token on slot 6
[16:41:12.894] [SEVERE ] player 4 placing token on slot 11
[16:41:12.896] [SEVERE ] removing player 1 token from slot 5
[16:41:12.897] [SEVERE ] removing player 1 token from slot 7
[16:41:12.897] [SEVERE ] removing player 1 token from slot 11
[16:41:12.897] [SEVERE ] player 4 placing token on slot 3
[16:41:12.898] [SEVERE ] removing player 2 token from slot 2
[16:41:12.898] [SEVERE ] removing player 2 token from slot 4
[16:41:12.899] [SEVERE ] removing player 2 token from slot 9
[16:41:12.899] [SEVERE ] player 4 placing token on slot 10
[16:41:12.899] [SEVERE ] player 1 placing token on slot 2
[16:41:12.899] [SEVERE ] player 2 placing token on slot 1
[16:41:12.901] [SEVERE ] removing player 3 token from slot 0
[16:41:12.902] [SEVERE ] removing player 3 token from slot 1
[16:41:12.902] [SEVERE ] removing player 3 token from slot 6
[16:41:12.903] [SEVERE ] player 3 placing token on slot 4
[16:41:12.903] [SEVERE ] player 2 placing token on slot 5
[16:41:12.903] [SEVERE ] player 1 placing token on slot 3
