[15:15:09.623] [INFO   ] thread main starting.
[15:15:09.632] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:15:09.635] [SEVERE ] configuration file was loaded from resources directory.
[15:15:10.357] [INFO   ] thread dealer starting.
[15:15:10.439] [SEVERE ] placing card 70 in slot 0
[15:15:10.440] [SEVERE ] placing card 12 in slot 1
[15:15:10.440] [SEVERE ] placing card 6 in slot 2
[15:15:10.440] [SEVERE ] placing card 37 in slot 3
[15:15:10.442] [SEVERE ] placing card 72 in slot 4
[15:15:10.442] [SEVERE ] placing card 48 in slot 5
[15:15:10.442] [SEVERE ] placing card 78 in slot 6
[15:15:10.442] [SEVERE ] placing card 18 in slot 7
[15:15:10.443] [SEVERE ] placing card 9 in slot 8
[15:15:10.443] [SEVERE ] placing card 61 in slot 9
[15:15:10.443] [SEVERE ] placing card 20 in slot 10
[15:15:10.443] [SEVERE ] placing card 54 in slot 11
[15:15:10.453] [SEVERE ] updating countdown to 1000
[15:15:10.453] [SEVERE ] player 3 placing token on slot 3
[15:15:10.453] [SEVERE ] player 2 placing token on slot 10
[15:15:10.453] [SEVERE ] player 1 placing token on slot 3
[15:15:10.453] [SEVERE ] player 4 placing token on slot 6
[15:15:10.454] [SEVERE ] player 1 placing token on slot 7
[15:15:10.454] [SEVERE ] player 3 placing token on slot 8
[15:15:10.454] [SEVERE ] removing player 1 token from slot 7
[15:15:10.454] [SEVERE ] player 2 placing token on slot 3
[15:15:10.454] [SEVERE ] player 4 placing token on slot 9
[15:15:10.455] [SEVERE ] player 2 placing token on slot 4
[15:15:10.455] [SEVERE ] player 1 placing token on slot 8
[15:15:10.456] [SEVERE ] player 1 placing token on slot 10
[15:15:10.455] [SEVERE ] removing player 3 token from slot 3
[15:15:10.455] [SEVERE ] player 4 placing token on slot 10
[15:15:10.457] [SEVERE ] removing player 1 token from slot 3
[15:15:10.457] [SEVERE ] removing player 1 token from slot 8
[15:15:10.458] [SEVERE ] removing player 1 token from slot 10
[15:15:10.458] [SEVERE ] removing player 2 token from slot 3
[15:15:10.458] [SEVERE ] removing player 2 token from slot 4
[15:15:10.459] [SEVERE ] removing player 2 token from slot 10
[15:15:10.459] [SEVERE ] removing player 4 token from slot 6
[15:15:10.459] [SEVERE ] removing player 4 token from slot 9
[15:15:10.460] [SEVERE ] removing player 4 token from slot 10
[15:15:10.460] [SEVERE ] player 2 placing token on slot 10
[15:15:10.460] [SEVERE ] player 3 placing token on slot 10
[15:15:10.460] [SEVERE ] player 1 placing token on slot 1
[15:15:10.460] [SEVERE ] player 4 placing token on slot 10
[15:15:10.465] [SEVERE ] player 1 placing token on slot 7
[15:15:10.465] [SEVERE ] player 3 placing token on slot 4
[15:15:10.464] [SEVERE ] player 2 placing token on slot 9
[15:15:10.466] [SEVERE ] player 1 placing token on slot 10
[15:15:10.465] [SEVERE ] player 4 placing token on slot 7
[15:15:10.467] [SEVERE ] removing player 3 token from slot 4
[15:15:10.467] [SEVERE ] removing player 3 token from slot 8
[15:15:10.467] [SEVERE ] removing player 3 token from slot 10
[15:15:10.467] [SEVERE ] removing player 2 token from slot 10
[15:15:10.467] [SEVERE ] player 4 placing token on slot 0
[15:15:10.468] [SEVERE ] removing player 1 token from slot 1
[15:15:10.468] [SEVERE ] removing player 1 token from slot 7
[15:15:10.469] [SEVERE ] removing player 1 token from slot 10
[15:15:10.469] [SEVERE ] player 3 placing token on slot 2
[15:15:10.469] [SEVERE ] player 2 placing token on slot 8
[15:15:10.469] [SEVERE ] player 1 placing token on slot 3
[15:15:10.470] [SEVERE ] removing player 4 token from slot 0
[15:15:10.470] [SEVERE ] removing player 4 token from slot 7
[15:15:10.470] [SEVERE ] removing player 4 token from slot 10
[15:15:10.471] [SEVERE ] player 4 placing token on slot 9
[15:15:10.471] [SEVERE ] player 4 placing token on slot 0
[15:15:10.471] [SEVERE ] player 1 placing token on slot 5
[15:15:10.471] [SEVERE ] player 2 placing token on slot 5
[15:15:10.471] [SEVERE ] player 3 placing token on slot 9
[15:15:10.471] [SEVERE ] removing player 1 token from slot 3
[15:15:10.471] [SEVERE ] player 4 placing token on slot 11
[15:15:10.472] [SEVERE ] removing player 2 token from slot 5
[15:15:10.479] [SEVERE ] removing player 2 token from slot 8
[15:15:10.479] [SEVERE ] removing player 2 token from slot 9
[15:15:10.480] [SEVERE ] player 3 placing token on slot 4
[15:15:10.480] [SEVERE ] player 1 placing token on slot 0
[15:15:10.480] [SEVERE ] removing player 4 token from slot 0
[15:15:10.480] [SEVERE ] removing player 4 token from slot 9
[15:15:10.480] [SEVERE ] removing player 4 token from slot 11
[15:15:10.481] [SEVERE ] player 2 placing token on slot 5
[15:15:10.481] [SEVERE ] player 1 placing token on slot 3
[15:15:10.481] [SEVERE ] removing player 3 token from slot 2
[15:15:10.481] [SEVERE ] removing player 3 token from slot 4
[15:15:10.482] [SEVERE ] removing player 3 token from slot 9
[15:15:10.482] [SEVERE ] player 4 placing token on slot 7
[15:15:10.482] [SEVERE ] player 2 placing token on slot 2
[15:15:10.482] [SEVERE ] removing player 1 token from slot 0
[15:15:10.483] [SEVERE ] removing player 1 token from slot 3
[15:15:10.483] [SEVERE ] removing player 1 token from slot 5
[15:15:10.483] [SEVERE ] player 1 placing token on slot 6
[15:15:10.483] [SEVERE ] player 1 placing token on slot 10
[15:15:10.484] [SEVERE ] player 4 placing token on slot 6
[15:15:10.484] [SEVERE ] player 3 placing token on slot 4
[15:15:10.484] [SEVERE ] player 4 placing token on slot 11
[15:15:10.484] [SEVERE ] player 1 placing token on slot 11
[15:15:10.484] [SEVERE ] player 2 placing token on slot 4
[15:15:10.484] [SEVERE ] player 3 placing token on slot 0
[15:15:10.486] [SEVERE ] removing player 4 token from slot 6
[15:15:10.486] [SEVERE ] removing player 4 token from slot 7
[15:15:10.487] [SEVERE ] removing player 4 token from slot 11
[15:15:10.487] [SEVERE ] player 3 placing token on slot 1
[15:15:10.487] [SEVERE ] removing player 1 token from slot 6
[15:15:10.487] [SEVERE ] removing player 1 token from slot 10
[15:15:10.487] [SEVERE ] removing player 1 token from slot 11
[15:15:10.488] [SEVERE ] removing player 2 token from slot 2
[15:15:10.488] [SEVERE ] removing player 2 token from slot 4
[15:15:10.488] [SEVERE ] removing player 2 token from slot 5
[15:15:10.488] [SEVERE ] player 4 placing token on slot 9
[15:15:10.488] [SEVERE ] player 1 placing token on slot 4
[15:15:10.488] [SEVERE ] removing player 3 token from slot 0
[15:15:10.490] [SEVERE ] removing player 3 token from slot 1
[15:15:10.490] [SEVERE ] removing player 3 token from slot 4
[15:15:10.490] [SEVERE ] player 4 placing token on slot 2
[15:15:10.490] [SEVERE ] player 1 placing token on slot 9
[15:15:10.490] [SEVERE ] player 4 placing token on slot 10
[15:15:10.490] [SEVERE ] player 1 placing token on slot 6
[15:15:10.492] [SEVERE ] player 2 placing token on slot 0
[15:15:10.494] [SEVERE ] removing player 4 token from slot 2
[15:15:10.497] [SEVERE ] removing player 4 token from slot 9
[15:15:10.498] [SEVERE ] removing player 4 token from slot 10
[15:15:10.498] [SEVERE ] player 3 placing token on slot 9
[15:15:10.498] [SEVERE ] player 4 placing token on slot 3
[15:15:10.498] [SEVERE ] player 2 placing token on slot 8
[15:15:10.500] [SEVERE ] removing player 1 token from slot 4
[15:15:10.501] [SEVERE ] removing player 1 token from slot 6
[15:15:10.501] [SEVERE ] removing player 1 token from slot 9
