[13:16:47.843] [INFO   ] thread main starting.
[13:16:47.849] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:16:47.851] [SEVERE ] configuration file was loaded from resources directory.
[13:16:48.383] [INFO   ] thread dealer starting.
[13:16:48.470] [SEVERE ] placing card 3 in slot 0
[13:16:48.472] [SEVERE ] placing card 49 in slot 1
[13:16:48.472] [SEVERE ] placing card 8 in slot 2
[13:16:48.472] [SEVERE ] placing card 65 in slot 3
[13:16:48.472] [SEVERE ] placing card 30 in slot 4
[13:16:48.473] [SEVERE ] placing card 47 in slot 5
[13:16:48.473] [SEVERE ] placing card 16 in slot 6
[13:16:48.473] [SEVERE ] placing card 29 in slot 7
[13:16:48.474] [SEVERE ] placing card 62 in slot 8
[13:16:48.474] [SEVERE ] placing card 50 in slot 9
[13:16:48.474] [SEVERE ] placing card 74 in slot 10
[13:16:48.474] [SEVERE ] placing card 17 in slot 11
[13:16:48.483] [SEVERE ] player 1 placing token on slot 1
[13:16:48.483] [SEVERE ] player 2 placing token on slot 7
[13:16:48.483] [SEVERE ] player 3 placing token on slot 6
[13:16:48.483] [SEVERE ] player 4 placing token on slot 6
[13:16:48.484] [SEVERE ] player 3 placing token on slot 11
[13:16:48.484] [SEVERE ] player 2 placing token on slot 1
[13:16:48.484] [SEVERE ] removing player 1 token from slot 1
[13:16:48.485] [SEVERE ] player 2 placing token on slot 6
[13:16:48.484] [SEVERE ] player 3 placing token on slot 3
[13:16:48.484] [SEVERE ] player 4 placing token on slot 11
[13:16:48.485] [SEVERE ] player 1 placing token on slot 3
[13:16:48.486] [SEVERE ] removing player 2 token from slot 1
[13:16:48.486] [SEVERE ] removing player 2 token from slot 6
[13:16:48.488] [SEVERE ] removing player 2 token from slot 7
[13:16:48.489] [SEVERE ] player 4 placing token on slot 8
[13:16:48.489] [SEVERE ] player 1 placing token on slot 10
[13:16:48.489] [SEVERE ] removing player 3 token from slot 3
[13:16:48.490] [SEVERE ] removing player 3 token from slot 6
[13:16:48.490] [SEVERE ] removing player 3 token from slot 11
