[15:11:18.117] [INFO   ] thread main starting.
[15:11:18.125] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:11:18.128] [SEVERE ] configuration file was loaded from resources directory.
[15:11:18.837] [INFO   ] thread dealer starting.
[15:11:18.918] [SEVERE ] placing card 10 in slot 0
[15:11:18.919] [SEVERE ] placing card 72 in slot 1
[15:11:18.919] [SEVERE ] placing card 67 in slot 2
[15:11:18.919] [SEVERE ] placing card 1 in slot 3
[15:11:18.920] [SEVERE ] placing card 45 in slot 4
[15:11:18.920] [SEVERE ] placing card 24 in slot 5
[15:11:18.920] [SEVERE ] placing card 78 in slot 6
[15:11:18.921] [SEVERE ] placing card 32 in slot 7
[15:11:18.921] [SEVERE ] placing card 12 in slot 8
[15:11:18.921] [SEVERE ] placing card 33 in slot 9
[15:11:18.921] [SEVERE ] placing card 49 in slot 10
[15:11:18.922] [SEVERE ] placing card 18 in slot 11
[15:11:18.935] [SEVERE ] updating countdown to 1000
[15:11:18.936] [SEVERE ] player 4 placing token on slot 10
[15:11:18.935] [SEVERE ] player 1 placing token on slot 7
[15:11:18.936] [SEVERE ] player 2 placing token on slot 11
[15:11:18.936] [SEVERE ] player 3 placing token on slot 10
[15:11:18.936] [SEVERE ] player 4 placing token on slot 4
[15:11:18.936] [SEVERE ] player 1 placing token on slot 9
[15:11:18.937] [SEVERE ] player 4 placing token on slot 6
[15:11:18.937] [SEVERE ] player 2 placing token on slot 4
[15:11:18.937] [SEVERE ] player 3 placing token on slot 5
[15:11:18.937] [SEVERE ] player 1 placing token on slot 2
[15:11:18.938] [SEVERE ] removing player 4 token from slot 4
[15:11:18.938] [SEVERE ] removing player 4 token from slot 6
[15:11:18.938] [SEVERE ] removing player 4 token from slot 10
[15:11:18.939] [SEVERE ] player 2 placing token on slot 9
[15:11:18.939] [SEVERE ] player 3 placing token on slot 3
[15:11:18.939] [SEVERE ] removing player 1 token from slot 2
[15:11:18.940] [SEVERE ] removing player 1 token from slot 7
[15:11:18.940] [SEVERE ] removing player 1 token from slot 9
[15:11:18.941] [SEVERE ] player 4 placing token on slot 10
[15:11:18.941] [SEVERE ] removing player 2 token from slot 4
[15:11:18.941] [SEVERE ] removing player 2 token from slot 9
