[15:10:28.741] [INFO   ] thread main starting.
[15:10:28.750] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:10:28.754] [SEVERE ] configuration file was loaded from resources directory.
[15:10:29.366] [INFO   ] thread dealer starting.
[15:10:29.456] [SEVERE ] placing card 41 in slot 0
[15:10:29.457] [SEVERE ] placing card 62 in slot 1
[15:10:29.457] [SEVERE ] placing card 76 in slot 2
[15:10:29.457] [SEVERE ] placing card 42 in slot 3
[15:10:29.457] [SEVERE ] placing card 65 in slot 4
[15:10:29.457] [SEVERE ] placing card 35 in slot 5
[15:10:29.458] [SEVERE ] placing card 17 in slot 6
[15:10:29.459] [SEVERE ] placing card 47 in slot 7
[15:10:29.460] [SEVERE ] placing card 54 in slot 8
[15:10:29.460] [SEVERE ] placing card 38 in slot 9
[15:10:29.470] [SEVERE ] placing card 71 in slot 10
[15:10:29.470] [SEVERE ] placing card 36 in slot 11
[15:10:29.479] [SEVERE ] updating countdown to 1000
[15:10:29.479] [SEVERE ] player 2 placing token on slot 0
[15:10:29.479] [SEVERE ] player 3 placing token on slot 2
[15:10:29.479] [SEVERE ] player 4 placing token on slot 3
[15:10:29.480] [SEVERE ] player 2 placing token on slot 4
[15:10:29.479] [SEVERE ] player 1 placing token on slot 9
[15:10:29.480] [SEVERE ] player 2 placing token on slot 1
[15:10:29.480] [SEVERE ] player 4 placing token on slot 6
[15:10:29.480] [SEVERE ] player 3 placing token on slot 3
[15:10:29.481] [SEVERE ] player 1 placing token on slot 6
[15:10:29.482] [SEVERE ] removing player 2 token from slot 0
[15:10:29.482] [SEVERE ] removing player 2 token from slot 1
[15:10:29.482] [SEVERE ] removing player 2 token from slot 4
[15:10:29.482] [SEVERE ] player 4 placing token on slot 0
[15:10:29.482] [SEVERE ] player 2 placing token on slot 7
[15:10:29.482] [SEVERE ] player 3 placing token on slot 10
[15:10:29.482] [SEVERE ] player 1 placing token on slot 0
[15:10:29.483] [SEVERE ] removing player 4 token from slot 0
[15:10:29.484] [SEVERE ] removing player 4 token from slot 3
[15:10:29.484] [SEVERE ] removing player 4 token from slot 6
[15:10:29.484] [SEVERE ] player 2 placing token on slot 0
[15:10:29.484] [SEVERE ] removing player 3 token from slot 2
[15:10:29.485] [SEVERE ] removing player 3 token from slot 3
[15:10:29.485] [SEVERE ] removing player 3 token from slot 10
[15:10:29.485] [SEVERE ] player 4 placing token on slot 1
[15:10:29.485] [SEVERE ] player 2 placing token on slot 3
[15:10:29.485] [SEVERE ] player 3 placing token on slot 4
[15:10:29.486] [SEVERE ] removing player 1 token from slot 0
[15:10:29.486] [SEVERE ] removing player 1 token from slot 6
[15:10:29.486] [SEVERE ] removing player 1 token from slot 9
[15:10:29.488] [SEVERE ] player 4 placing token on slot 8
[15:10:29.488] [SEVERE ] player 3 placing token on slot 11
[15:10:29.492] [SEVERE ] removing player 2 token from slot 0
[15:10:29.492] [SEVERE ] removing player 2 token from slot 3
[15:10:29.492] [SEVERE ] removing player 2 token from slot 7
[15:10:29.492] [SEVERE ] player 1 placing token on slot 8
[15:10:29.492] [SEVERE ] player 4 placing token on slot 3
[15:10:29.492] [SEVERE ] player 2 placing token on slot 7
[15:10:29.492] [SEVERE ] player 3 placing token on slot 5
[15:10:29.493] [SEVERE ] player 1 placing token on slot 7
[15:10:29.494] [SEVERE ] removing player 4 token from slot 1
[15:10:29.494] [SEVERE ] removing player 4 token from slot 3
[15:10:29.494] [SEVERE ] removing player 4 token from slot 8
[15:10:29.496] [SEVERE ] player 4 placing token on slot 4
[15:10:29.496] [SEVERE ] removing player 1 token from slot 7
[15:10:29.496] [SEVERE ] player 2 placing token on slot 4
[15:10:29.497] [SEVERE ] removing player 3 token from slot 4
[15:10:29.498] [SEVERE ] removing player 3 token from slot 5
[15:10:29.498] [SEVERE ] removing player 3 token from slot 11
[15:10:29.498] [SEVERE ] player 4 placing token on slot 7
[15:10:29.499] [SEVERE ] player 2 placing token on slot 1
[15:10:29.499] [SEVERE ] player 3 placing token on slot 8
[15:10:29.499] [SEVERE ] player 1 placing token on slot 6
[15:10:29.499] [SEVERE ] player 4 placing token on slot 6
[15:10:29.500] [SEVERE ] removing player 2 token from slot 1
[15:10:29.500] [SEVERE ] removing player 2 token from slot 4
[15:10:29.501] [SEVERE ] removing player 2 token from slot 7
